ts_utc,epoch_index,brokers_used,step_index,target_subs,target_pubs,connected_subs,fully_subscribed_subs,connected_pubs,sub_conn_ok,sub_conn_fail,sub_disc,sub_sub_err,pub_conn_ok,pub_conn_fail,pub_disc,pubs_sent,pubs_err,msgs_recv,expected,delivery_ratio,p50_ms,p95_ms,p99_ms,disconnects_per_min,sla_breached,sla_reason
2025-12-21T13:05:37Z,1,1,1,500,50,500,500,0,500,0,0,0,50,0,50,2147,826,649926,1073500,0.605427,7500.000,7500.000,7500.000,50.000,true,delivery_pct=60.54 < 99.00
2025-12-21T13:06:37Z,1,1,2,600,50,600,600,0,100,0,0,0,0,0,0,0,3000,471191,0,0.000000,7500.000,7500.000,7500.000,0.000,true,p95_ms=7500.00 > 200.00
2025-12-21T13:07:37Z,2,2,3,700,50,700,700,0,100,0,0,0,0,0,0,0,3000,0,0,0.000000,0.000,0.000,0.000,0.000,false,
2025-12-21T13:08:37Z,2,2,4,800,50,800,800,0,100,0,0,0,0,0,0,0,3000,0,0,0.000000,0.000,0.000,0.000,0.000,false,
2025-12-21T13:09:37Z,2,2,5,900,50,900,900,0,100,0,0,0,0,0,0,0,3000,0,0,0.000000,0.000,0.000,0.000,0.000,false,
2025-12-21T13:10:37Z,2,2,6,1000,50,1000,1000,0,100,0,0,0,0,0,0,0,3000,0,0,0.000000,0.000,0.000,0.000,0.000,false,
2025-12-21T13:11:37Z,2,2,7,1100,50,1017,1017,0,17,83,0,0,0,0,0,0,3000,0,0,0.000000,0.000,0.000,0.000,0.000,true,connected_subs_pct=92.45 < 99.00
2025-12-21T13:12:37Z,2,2,8,1200,50,1017,1017,0,0,100,0,0,0,0,0,0,3000,0,0,0.000000,0.000,0.000,0.000,0.000,true,connected_subs_pct=84.75 < 99.00
2025-12-21T13:13:37Z,3,3,9,1300,50,1017,1017,0,0,100,0,0,0,0,0,0,3000,0,0,0.000000,0.000,0.000,0.000,0.000,true,connected_subs_pct=78.23 < 99.00
2025-12-21T13:14:37Z,3,3,10,1400,50,1017,1017,0,0,100,0,0,0,0,0,0,3000,0,0,0.000000,0.000,0.000,0.000,0.000,true,connected_subs_pct=72.64 < 99.00
