ts,step,target_subs,target_pubs,connected_subs,connected_pubs,conn_ok,conn_fail,disconnects,pubs_sent,pubs_err,msgs_recv,recv_rate_msgs_per_s,p50_ms,p95_ms,p99_ms
2025-12-14T13:03:23Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T13:03:24Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T13:03:25Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T13:03:26Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T13:03:27Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T13:03:28Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T13:03:29Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T13:03:30Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T13:03:31Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T13:03:32Z,1,200,5,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T13:03:33Z,1,200,5,200,5,205,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T13:03:34Z,1,200,5,200,5,205,0,0,5,0,209,209.000,1000.000,1000.000,1000.000
2025-12-14T13:03:35Z,1,200,5,200,5,205,0,0,10,0,854,645.000,2000.000,2000.000,2000.000
2025-12-14T13:03:36Z,1,200,5,200,5,205,0,0,15,0,1392,538.000,2000.000,5000.000,5000.000
2025-12-14T13:03:37Z,1,200,5,200,5,205,0,0,20,0,1928,536.000,2000.000,5000.000,5000.000
2025-12-14T13:03:38Z,1,200,5,200,5,205,0,0,25,0,2471,543.000,2000.000,5000.000,5000.000
2025-12-14T13:03:39Z,1,200,5,200,5,205,0,0,30,0,3004,533.000,5000.000,5000.000,5000.000
2025-12-14T13:03:40Z,1,200,5,200,5,205,0,0,35,0,3541,537.000,5000.000,5000.000,5000.000
2025-12-14T13:03:41Z,1,200,5,200,5,205,0,0,40,0,4087,546.000,5000.000,5000.000,10000.000
2025-12-14T13:03:43Z,2,400,10,200,5,205,0,0,47,0,4636,549.000,5000.000,5000.000,10000.000
2025-12-14T13:03:43Z,2,400,10,400,10,410,0,0,50,0,5124,488.000,5000.000,10000.000,10000.000
2025-12-14T13:03:44Z,2,400,10,400,10,410,0,0,56,0,5427,303.000,5000.000,10000.000,10000.000
2025-12-14T13:03:45Z,2,400,10,400,10,410,0,0,70,0,5987,560.000,5000.000,10000.000,10000.000
2025-12-14T13:03:46Z,2,400,10,400,10,410,0,0,80,0,6488,501.000,5000.000,10000.000,10000.000
2025-12-14T13:03:47Z,2,400,10,400,10,410,0,0,90,0,7031,543.000,5000.000,10000.000,10000.000
2025-12-14T13:03:48Z,2,400,10,400,10,410,0,0,100,0,7589,558.000,5000.000,10000.000,10000.000
2025-12-14T13:03:49Z,2,400,10,400,10,410,0,0,110,0,8132,543.000,5000.000,10000.000,10000.000
2025-12-14T13:03:50Z,2,400,10,400,10,410,0,0,120,0,8687,555.000,5000.000,10000.000,10000.000
