ts,step,target_subs,target_pubs,connected_subs,connected_pubs,sub_conn_ok_delta,sub_conn_fail_delta,sub_disc_delta,sub_subscribe_err_delta,pub_conn_ok_delta,pub_conn_fail_delta,pub_disc_delta,pubs_sent_delta,pubs_err_delta,msgs_recv_delta,expected_deliveries_delta,lost_delta,dup_delta,reorder_delta,delivery_ratio,p50_ms,p95_ms,p99_ms
2025-12-14T14:18:13Z,1,500,50,500,50,500,0,0,0,50,0,0,0,0,0,0,0,0,0,0.000000,0.000,0.000,0.000
2025-12-14T14:18:14Z,2,500,50,500,50,0,0,0,0,0,0,0,50,0,2287,25000,0,0,0,0.091480,625.000,875.000,875.000
2025-12-14T14:18:16Z,3,500,50,500,50,0,0,0,0,0,0,0,50,0,3577,25000,0,0,0,0.143080,1250.000,2500.000,2500.000
2025-12-14T14:18:17Z,4,500,50,500,50,0,0,0,0,0,0,0,50,0,3440,25000,0,0,0,0.137600,1750.000,2500.000,2500.000
2025-12-14T14:18:17Z,5,500,50,500,50,0,0,0,0,0,0,0,50,0,4435,25000,0,0,0,0.177400,1750.000,2500.000,2500.000
2025-12-14T14:18:18Z,6,500,50,500,50,0,0,0,0,0,0,0,50,0,3812,25000,0,0,0,0.152480,2500.000,4000.000,4000.000
2025-12-14T14:18:20Z,7,500,50,500,50,0,0,0,0,0,0,0,50,0,4184,25000,0,0,0,0.167360,2500.000,4000.000,4000.000
2025-12-14T14:18:20Z,8,500,50,500,50,0,0,0,0,0,0,0,50,0,3848,25000,0,0,0,0.153920,2500.000,4000.000,4000.000
2025-12-14T14:18:21Z,9,500,50,500,50,0,0,0,0,0,0,0,50,0,3578,25000,0,0,0,0.143120,2500.000,7500.000,7500.000
2025-12-14T14:18:22Z,10,500,50,500,50,0,0,0,0,0,0,0,50,0,4056,25000,0,0,0,0.162240,4000.000,7500.000,7500.000
2025-12-14T14:18:23Z,11,500,50,500,50,0,0,0,0,0,0,0,50,0,3554,25000,0,0,0,0.142160,4000.000,7500.000,7500.000
2025-12-14T14:18:24Z,12,500,50,500,50,0,0,0,0,0,0,0,50,0,4281,25000,0,0,0,0.171240,4000.000,7500.000,7500.000
