ts,step,target_subs,target_pubs,connected_subs,connected_pubs,sub_conn_ok_delta,sub_conn_fail_delta,sub_disc_delta,sub_subscribe_err_delta,pub_conn_ok_delta,pub_conn_fail_delta,pub_disc_delta,pubs_sent_delta,pubs_err_delta,msgs_recv_delta,expected_deliveries_delta,lost_delta,dup_delta,reorder_delta,delivery_ratio,p50_ms,p95_ms,p99_ms
2025-12-17T17:03:18Z,1,1000,10,1000,10,1000,0,0,0,10,0,0,843,0,16272,843000,0,0,0,0.019302,400.000,875.000,875.000
2025-12-17T17:03:19Z,2,1000,10,1000,10,0,0,0,0,0,0,0,869,0,28434,869000,0,0,0,0.032720,1250.000,1750.000,1750.000
2025-12-17T17:03:20Z,3,1000,10,1000,10,0,0,0,0,0,0,0,719,0,38413,719000,0,0,0,0.053426,1750.000,2500.000,2500.000
2025-12-17T17:03:21Z,4,1000,10,1000,10,0,0,0,0,0,0,0,385,0,34918,385000,0,0,0,0.090696,2500.000,4000.000,4000.000
2025-12-17T17:03:22Z,5,1000,10,1000,10,0,0,0,0,0,0,0,0,0,35294,0,0,0,0,0.000000,2500.000,4000.000,4000.000
2025-12-17T17:03:23Z,6,1000,10,1000,10,0,0,0,0,0,0,0,0,0,32262,0,0,0,0,0.000000,2500.000,7500.000,7500.000
2025-12-17T17:03:24Z,7,1000,10,1000,10,0,0,0,0,0,0,0,39,0,37462,39000,0,0,0,0.960564,4000.000,7500.000,7500.000
2025-12-17T17:03:25Z,8,1000,10,1000,10,0,0,0,0,0,0,0,21,0,35277,21000,0,0,0,1.679857,4000.000,7500.000,7500.000
2025-12-17T17:03:26Z,9,1000,10,1000,10,0,0,0,0,0,0,0,88,0,33943,88000,0,0,0,0.385716,4000.000,7500.000,7500.000
2025-12-17T17:03:27Z,10,1000,10,1000,10,0,0,0,0,0,0,0,90,0,39218,90000,0,0,0,0.435756,4000.000,7500.000,7500.000
2025-12-17T17:03:28Z,11,1000,10,1000,10,0,0,0,0,0,0,0,198,0,36271,198000,0,0,0,0.183187,7500.000,7500.000,7500.000
2025-12-17T17:03:29Z,12,1000,10,1000,10,0,0,0,0,0,0,0,30,0,30342,30000,0,0,0,1.011400,7500.000,7500.000,7500.000
