ts,step,target_subs,target_pubs,connected_subs,connected_pubs,sub_conn_ok_delta,sub_conn_fail_delta,sub_disc_delta,sub_subscribe_err_delta,pub_conn_ok_delta,pub_conn_fail_delta,pub_disc_delta,pubs_sent_delta,pubs_err_delta,msgs_recv_delta,expected_deliveries_delta,lost_delta,dup_delta,reorder_delta,delivery_ratio,p50_ms,p95_ms,p99_ms
2025-12-17T16:59:27Z,1,100,1,100,1,100,0,0,0,1,0,0,9,0,900,900,0,0,0,1.000000,2.500,4.000,4.000
2025-12-17T16:59:28Z,2,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,2.500,4.000,4.000
2025-12-17T16:59:29Z,3,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,2.500,4.000,4.000
2025-12-17T16:59:30Z,4,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,2.500,4.000,4.000
2025-12-17T16:59:31Z,5,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,2.500,4.000,4.000
2025-12-17T16:59:32Z,6,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,2.500,4.000,4.000
2025-12-17T16:59:33Z,7,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,2.500,4.000,4.000
2025-12-17T16:59:34Z,8,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,2.500,4.000,6.250
2025-12-17T16:59:35Z,9,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,2.500,4.000,6.250
2025-12-17T16:59:36Z,10,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,2.500,4.000,6.250
2025-12-17T16:59:37Z,11,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,2.500,4.000,4.000
2025-12-17T16:59:38Z,12,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,2.500,4.000,4.000
2025-12-17T16:59:39Z,13,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,2.500,4.000,6.250
2025-12-17T16:59:40Z,14,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,2.500,4.000,6.250
2025-12-17T16:59:41Z,15,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,2.500,4.000,6.250
2025-12-17T16:59:42Z,16,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,2.500,4.000,6.250
2025-12-17T16:59:43Z,17,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,2.500,4.000,6.250
2025-12-17T16:59:44Z,18,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,2.500,4.000,6.250
2025-12-17T16:59:45Z,19,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,2.500,4.000,6.250
2025-12-17T16:59:46Z,20,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,2.500,4.000,6.250
2025-12-17T16:59:47Z,21,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,2.500,4.000,6.250
2025-12-17T16:59:48Z,22,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,2.500,4.000,6.250
2025-12-17T16:59:49Z,23,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,2.500,4.000,6.250
2025-12-17T16:59:50Z,24,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,2.500,4.000,6.250
2025-12-17T16:59:51Z,25,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,2.500,4.000,6.250
2025-12-17T16:59:52Z,26,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,2.500,4.000,6.250
2025-12-17T16:59:53Z,27,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,2.500,4.000,6.250
2025-12-17T16:59:54Z,28,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,2.500,4.000,6.250
2025-12-17T16:59:55Z,29,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,2.500,4.000,6.250
2025-12-17T16:59:56Z,30,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,2.500,4.000,6.250
2025-12-17T16:59:57Z,31,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,2.500,4.000,6.250
2025-12-17T16:59:58Z,32,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,2.500,4.000,6.250
2025-12-17T16:59:59Z,33,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,2.500,4.000,6.250
2025-12-17T17:00:00Z,34,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,2.500,4.000,6.250
2025-12-17T17:00:01Z,35,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,2.500,4.000,6.250
2025-12-17T17:00:02Z,36,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,2.500,4.000,6.250
2025-12-17T17:00:03Z,37,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,2.500,4.000,8.750
2025-12-17T17:00:04Z,38,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,2.500,4.000,8.750
