ts,step,target_subs,target_pubs,connected_subs,connected_pubs,conn_ok,conn_fail,disconnects,pubs_sent,pubs_err,msgs_recv,recv_rate_msgs_per_s,p50_ms,p95_ms,p99_ms
2025-12-14T12:47:51Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T12:47:52Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T12:47:53Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T12:47:54Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T12:47:55Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T12:47:56Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T12:47:57Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T12:47:58Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T12:47:59Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T12:48:00Z,1,200,5,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T12:48:01Z,1,200,5,200,5,205,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T12:48:02Z,1,200,5,200,5,205,0,0,5,0,1000,1000.000,200.000,500.000,500.000
2025-12-14T12:48:03Z,1,200,5,200,5,205,0,0,10,0,2000,1000.000,50.000,500.000,500.000
2025-12-14T12:48:04Z,1,200,5,200,5,205,0,0,15,0,3000,1000.000,50.000,500.000,500.000
2025-12-14T12:48:05Z,1,200,5,200,5,205,0,0,20,0,4000,1000.000,50.000,500.000,500.000
2025-12-14T12:48:06Z,1,200,5,200,5,205,0,0,25,0,5000,1000.000,50.000,500.000,500.000
2025-12-14T12:48:07Z,1,200,5,200,5,205,0,0,30,0,6000,1000.000,50.000,500.000,500.000
2025-12-14T12:48:08Z,1,200,5,200,5,205,0,0,35,0,7000,1000.000,50.000,200.000,500.000
2025-12-14T12:48:09Z,1,200,5,200,5,205,0,0,40,0,8000,1000.000,50.000,200.000,500.000
2025-12-14T12:48:10Z,2,400,10,200,5,205,0,0,45,0,9000,1000.000,50.000,200.000,500.000
2025-12-14T12:48:11Z,2,400,10,400,10,410,0,0,50,0,10089,1089.000,50.000,200.000,500.000
2025-12-14T12:48:12Z,2,400,10,400,10,410,0,0,60,0,14089,4000.000,50.000,100.000,500.000
2025-12-14T12:48:13Z,2,400,10,400,10,410,0,0,70,0,18089,4000.000,50.000,200.000,500.000
2025-12-14T12:48:14Z,2,400,10,400,10,410,0,0,80,0,22089,4000.000,50.000,200.000,500.000
2025-12-14T12:48:15Z,2,400,10,400,10,410,0,0,90,0,26089,4000.000,50.000,200.000,500.000
2025-12-14T12:48:16Z,2,400,10,400,10,410,0,0,100,0,30089,4000.000,50.000,200.000,500.000
2025-12-14T12:48:17Z,2,400,10,400,10,410,0,0,110,0,34089,4000.000,100.000,200.000,200.000
