ts,step,target_subs,target_pubs,connected_subs,connected_pubs,sub_conn_ok_delta,sub_conn_fail_delta,sub_disc_delta,sub_subscribe_err_delta,pub_conn_ok_delta,pub_conn_fail_delta,pub_disc_delta,pubs_sent_delta,pubs_err_delta,msgs_recv_delta,expected_deliveries_delta,lost_delta,dup_delta,reorder_delta,delivery_ratio,p50_ms,p95_ms,p99_ms
2025-12-14T14:36:09Z,1,1000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000,0.000,0.000
2025-12-14T14:36:10Z,2,1000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000,0.000,0.000
2025-12-14T14:36:11Z,3,1000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000,0.000,0.000
2025-12-14T14:36:12Z,4,1000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000,0.000,0.000
2025-12-14T14:36:13Z,5,1000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000,0.000,0.000
2025-12-14T14:36:14Z,6,1000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000,0.000,0.000
2025-12-14T14:36:15Z,7,1000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000,0.000,0.000
2025-12-14T14:36:16Z,8,1000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000,0.000,0.000
2025-12-14T14:36:17Z,9,1000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000,0.000,0.000
2025-12-14T14:36:18Z,10,1000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000,0.000,0.000
2025-12-14T14:36:19Z,11,1000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000,0.000,0.000
2025-12-14T14:36:20Z,12,1000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000,0.000,0.000
2025-12-14T14:36:21Z,13,1000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000,0.000,0.000
2025-12-14T14:36:22Z,14,1000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000,0.000,0.000
2025-12-14T14:36:23Z,15,1000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000,0.000,0.000
2025-12-14T14:36:24Z,16,1000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000,0.000,0.000
2025-12-14T14:36:25Z,17,1000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000,0.000,0.000
2025-12-14T14:36:26Z,18,1000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000,0.000,0.000
2025-12-14T14:36:27Z,19,1000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000,0.000,0.000
2025-12-14T14:36:28Z,20,1000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000,0.000,0.000
2025-12-14T14:36:29Z,21,1000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000,0.000,0.000
2025-12-14T14:36:30Z,22,1000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000,0.000,0.000
2025-12-14T14:36:31Z,23,1000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000,0.000,0.000
2025-12-14T14:36:32Z,24,1000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000,0.000,0.000
2025-12-14T14:36:33Z,25,1000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000,0.000,0.000
2025-12-14T14:36:34Z,26,1000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000,0.000,0.000
2025-12-14T14:36:35Z,27,1000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000,0.000,0.000
2025-12-14T14:36:36Z,28,1000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000,0.000,0.000
2025-12-14T14:36:37Z,29,1000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000,0.000,0.000
