ts,step,target_subs,target_pubs,connected_subs,connected_pubs,sub_conn_ok_delta,sub_conn_fail_delta,sub_disc_delta,sub_subscribe_err_delta,pub_conn_ok_delta,pub_conn_fail_delta,pub_disc_delta,pubs_sent_delta,pubs_err_delta,msgs_recv_delta,expected_deliveries_delta,lost_delta,dup_delta,reorder_delta,delivery_ratio,p50_ms,p95_ms,p99_ms
2025-12-17T16:56:43Z,1,500,50,500,50,500,0,0,0,50,0,0,2245,0,36925,1122500,0,0,0,0.032895,400.000,875.000,875.000
2025-12-17T16:56:44Z,2,500,50,500,50,0,0,0,0,0,0,0,2501,0,43835,1250500,0,0,0,0.035054,875.000,1750.000,1750.000
2025-12-17T16:56:45Z,3,500,50,500,50,0,0,0,0,0,0,0,2498,0,45444,1249000,0,0,0,0.036384,1250.000,2500.000,2500.000
2025-12-17T16:56:46Z,4,500,50,500,50,0,0,0,0,0,0,0,1065,0,46213,532500,0,0,0,0.086785,1750.000,4000.000,4000.000
2025-12-17T16:56:47Z,5,500,50,500,50,0,0,0,0,0,0,0,0,0,46130,0,0,0,0,0.000000,2500.000,4000.000,4000.000
2025-12-17T16:56:48Z,6,500,50,500,50,0,0,0,0,0,0,0,0,0,46073,0,0,0,0,0.000000,2500.000,7500.000,7500.000
2025-12-17T16:56:49Z,7,500,50,500,50,0,0,0,0,0,0,0,0,0,46418,0,0,0,0,0.000000,4000.000,7500.000,7500.000
2025-12-17T16:56:50Z,8,500,50,500,50,0,0,0,0,0,0,0,1224,0,45968,612000,0,0,0,0.075111,4000.000,7500.000,7500.000
2025-12-17T16:56:51Z,9,500,50,500,50,0,0,0,0,0,0,0,2509,0,46835,1254500,0,0,0,0.037334,4000.000,7500.000,7500.000
2025-12-17T16:56:52Z,10,500,50,500,50,0,0,0,0,0,0,0,1582,0,46271,791000,0,0,0,0.058497,4000.000,7500.000,7500.000
2025-12-17T16:56:53Z,11,500,50,500,50,0,0,0,0,0,0,0,247,0,44778,123500,0,0,0,0.362575,7500.000,7500.000,7500.000
2025-12-17T16:56:54Z,12,500,50,500,50,0,0,0,0,0,0,0,6,0,47411,3000,0,0,0,15.803667,7500.000,7500.000,7500.000
