ts,step,target_subs,target_pubs,connected_subs,connected_pubs,sub_conn_ok_delta,sub_conn_fail_delta,sub_disc_delta,sub_subscribe_err_delta,pub_conn_ok_delta,pub_conn_fail_delta,pub_disc_delta,pubs_sent_delta,pubs_err_delta,msgs_recv_delta,expected_deliveries_delta,lost_delta,dup_delta,reorder_delta,delivery_ratio,p50_ms,p95_ms,p99_ms
2025-12-17T17:03:43Z,1,1000,10,852,10,852,0,0,0,10,0,0,807,0,26410,687564,0,0,0,0.038411,400.000,625.000,625.000
2025-12-17T17:03:44Z,2,1000,10,953,10,101,0,0,0,0,0,0,869,0,31394,828157,0,0,0,0.037908,875.000,1750.000,1750.000
2025-12-17T17:03:45Z,3,1000,10,1000,10,47,0,0,0,0,0,0,0,0,33396,0,0,0,0,0.000000,1250.000,2500.000,2500.000
2025-12-17T17:03:46Z,4,1000,10,1000,10,0,0,0,0,0,0,0,497,0,33818,497000,0,0,0,0.068044,1750.000,4000.000,4000.000
2025-12-17T17:03:47Z,5,1000,10,1000,10,0,0,0,0,0,0,0,373,0,31976,373000,0,0,0,0.085727,2500.000,4000.000,4000.000
2025-12-17T17:03:48Z,6,1000,10,1000,10,0,0,0,0,0,0,0,0,0,35340,0,0,0,0,0.000000,2500.000,7500.000,7500.000
2025-12-17T17:03:49Z,7,1000,10,1000,10,0,0,0,0,0,0,0,0,0,34522,0,0,0,0,0.000000,4000.000,7500.000,7500.000
2025-12-17T17:03:50Z,8,1000,10,1000,10,0,0,0,0,0,0,0,0,0,33384,0,0,0,0,0.000000,4000.000,7500.000,7500.000
2025-12-17T17:03:51Z,9,1000,10,1000,10,0,0,0,0,0,0,0,97,0,34496,97000,0,0,0,0.355629,4000.000,7500.000,7500.000
2025-12-17T17:03:52Z,10,1000,10,1000,10,0,0,0,0,0,0,0,17,0,33641,17000,0,0,0,1.978882,4000.000,7500.000,7500.000
2025-12-17T17:03:53Z,11,1000,10,1000,10,0,0,0,0,0,0,0,0,0,34853,0,0,0,0,0.000000,7500.000,7500.000,7500.000
2025-12-17T17:03:54Z,12,1000,10,1000,10,0,0,0,0,0,0,0,0,0,33980,0,0,0,0,0.000000,7500.000,7500.000,7500.000
