ts,step,target_subs,target_pubs,connected_subs,connected_pubs,sub_conn_ok_delta,sub_conn_fail_delta,sub_disc_delta,sub_subscribe_err_delta,pub_conn_ok_delta,pub_conn_fail_delta,pub_disc_delta,pubs_sent_delta,pubs_err_delta,msgs_recv_delta,expected_deliveries_delta,lost_delta,dup_delta,reorder_delta,delivery_ratio,p50_ms,p95_ms,p99_ms
2025-12-17T16:50:34Z,1,100,1,100,1,100,0,0,0,1,0,0,9,0,900,900,0,0,0,1.000000,1.500,4.000,4.000
2025-12-17T16:50:35Z,2,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,1.500,2.500,4.000
2025-12-17T16:50:36Z,3,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,1.500,4.000,6.250
2025-12-17T16:50:37Z,4,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,1.500,4.000,4.000
2025-12-17T16:50:38Z,5,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,1.500,2.500,4.000
2025-12-17T16:50:39Z,6,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,1.500,2.500,4.000
2025-12-17T16:50:40Z,7,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,1.500,2.500,4.000
2025-12-17T16:50:41Z,8,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,1.500,2.500,4.000
2025-12-17T16:50:42Z,9,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,1.500,2.500,4.000
2025-12-17T16:50:43Z,10,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,1.500,2.500,4.000
2025-12-17T16:50:44Z,11,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,1.500,2.500,4.000
2025-12-17T16:50:45Z,12,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,1.500,2.500,4.000
2025-12-17T16:50:46Z,13,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,1.500,2.500,4.000
2025-12-17T16:50:47Z,14,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,1.500,2.500,4.000
2025-12-17T16:50:48Z,15,100,1,100,1,0,0,0,0,0,0,0,10,0,1000,1000,0,0,0,1.000000,1.500,2.500,4.000
