Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
MQTT,b'Device - 1',9,0,0,0.6666666666666666,0,4,10263.0,0.01189175791644057,0.0,0,0,1,1,4,4,4,4,4,4,4
MQTT,b'Device - 10',7,0,0,0.8571428571428571,0,4,10264.0,0.009249145046120443,0.0,0,1,1,1,4,4,4,4,4,4,4
MQTT,b'Device - 100',8,0,0,0.75,0,3,10265.0,0.010570451481280507,0.0,1,1,1,1,3,3,3,3,3,3,3
MQTT,b'Device - 101',5,0,0,0.4,0,1,10265.0,0.006606532175800317,0.0,0,1,1,1,1,1,1,1,1,1,1
MQTT,b'Device - 102',5,0,0,0.0,0,0,10265.0,0.006606532175800317,0.0,0,0,0,0,0,0,0,0,0,0,0
MQTT,b'Device - 103',8,0,0,0.75,0,3,10265.0,0.010570451481280507,0.0,0,1,2,2,3,3,3,3,3,3,3
MQTT,b'Device - 104',6,0,0,0.8333333333333334,0,3,10265.0,0.00792783861096038,0.0,1,1,1,1,3,3,3,3,3,3,3
MQTT,b'Device - 105',6,0,0,0.8333333333333334,0,3,10265.0,0.00792783861096038,0.0,1,1,1,1,3,3,3,3,3,3,3
MQTT,b'Device - 106',6,0,0,1.1666666666666667,0,5,10265.0,0.00792783861096038,0.0,0,0,2,2,5,5,5,5,5,5,5
MQTT,b'Device - 107',7,0,1,0.7142857142857143,0,2,10265.0,0.009249145046120443,0.0,1,1,1,1,2,2,2,2,2,2,2
MQTT,b'Device - 108',6,0,0,0.6666666666666666,0,2,10265.0,0.00792783861096038,0.0,1,1,1,1,2,2,2,2,2,2,2
MQTT,b'Device - 109',8,0,0,0.625,0,3,10265.0,0.010570451481280507,0.0,0,1,1,1,3,3,3,3,3,3,3
MQTT,b'Device - 11',6,0,0,0.3333333333333333,0,1,10264.0,0.00792783861096038,0.0,0,0,1,1,1,1,1,1,1,1,1
MQTT,b'Device - 110',8,0,0,0.625,0,3,10265.0,0.010570451481280507,0.0,0,1,1,1,3,3,3,3,3,3,3
MQTT,b'Device - 111',7,0,0,0.42857142857142855,0,1,10265.0,0.009249145046120443,0.0,0,1,1,1,1,1,1,1,1,1,1
MQTT,b'Device - 112',5,0,0,1.4,0,6,10265.0,0.006606532175800317,0.0,0,1,1,6,6,6,6,6,6,6,6
MQTT,b'Device - 113',6,0,0,1.0,0,6,10265.0,0.00792783861096038,0.0,0,0,0,0,6,6,6,6,6,6,6
MQTT,b'Device - 114',6,0,0,0.8333333333333334,0,4,10265.0,0.00792783861096038,0.0,0,0,1,1,4,4,4,4,4,4,4
MQTT,b'Device - 115',7,0,0,0.5714285714285714,0,4,10265.0,0.009249145046120443,0.0,0,0,0,0,4,4,4,4,4,4,4
MQTT,b'Device - 116',9,0,0,0.6666666666666666,0,4,10265.0,0.01189175791644057,0.0,0,0,1,1,4,4,4,4,4,4,4
MQTT,b'Device - 117',5,0,0,1.0,0,4,10265.0,0.006606532175800317,0.0,0,1,1,4,4,4,4,4,4,4,4
MQTT,b'Device - 118',8,0,0,0.75,0,3,10265.0,0.010570451481280507,0.0,0,0,3,3,3,3,3,3,3,3,3
MQTT,b'Device - 119',7,0,0,0.7142857142857143,0,3,10265.0,0.009249145046120443,0.0,0,1,1,1,3,3,3,3,3,3,3
MQTT,b'Device - 12',9,0,0,0.7777777777777778,0,5,10264.0,0.01189175791644057,0.0,0,0,1,1,5,5,5,5,5,5,5
MQTT,b'Device - 120',7,0,0,0.42857142857142855,0,2,10265.0,0.009249145046120443,0.0,0,0,1,1,2,2,2,2,2,2,2
MQTT,b'Device - 121',9,0,0,0.3333333333333333,0,2,10265.0,0.01189175791644057,0.0,0,0,0,1,2,2,2,2,2,2,2
MQTT,b'Device - 122',4,0,0,1.25,0,4,10265.0,0.005285225740640253,0.0,1,1,4,4,4,4,4,4,4,4,4
MQTT,b'Device - 123',6,0,0,0.8333333333333334,0,4,10265.0,0.00792783861096038,0.0,0,0,1,1,4,4,4,4,4,4,4
MQTT,b'Device - 124',8,0,0,0.875,0,4,10265.0,0.010570451481280507,0.0,1,1,1,1,4,4,4,4,4,4,4
MQTT,b'Device - 125',5,0,1,1.2,0,4,10265.0,0.006606532175800317,0.0,1,1,1,4,4,4,4,4,4,4,4
MQTT,b'Device - 126',4,0,0,1.25,0,4,10265.0,0.005285225740640253,0.0,1,1,4,4,4,4,4,4,4,4,4
MQTT,b'Device - 127',5,0,0,1.0,0,4,10265.0,0.006606532175800317,0.0,0,1,1,4,4,4,4,4,4,4,4
MQTT,b'Device - 128',7,0,0,0.7142857142857143,0,3,10265.0,0.009249145046120443,0.0,0,1,1,1,3,3,3,3,3,3,3
MQTT,b'Device - 129',7,0,1,1.2857142857142858,0,4,10265.0,0.009249145046120443,0.0,1,1,3,3,4,4,4,4,4,4,4
MQTT,b'Device - 13',9,0,0,0.8888888888888888,0,5,10264.0,0.01189175791644057,0.0,0,1,1,1,5,5,5,5,5,5,5
MQTT,b'Device - 130',8,0,0,1.125,0,4,10265.0,0.010570451481280507,0.0,1,1,3,3,4,4,4,4,4,4,4
MQTT,b'Device - 131',8,0,0,0.125,0,1,10265.0,0.010570451481280507,0.0,0,0,0,0,1,1,1,1,1,1,1
MQTT,b'Device - 132',6,0,0,1.1666666666666667,0,6,10265.0,0.00792783861096038,0.0,0,0,1,1,6,6,6,6,6,6,6
MQTT,b'Device - 133',6,0,1,2.0,0,5,10265.0,0.00792783861096038,0.0,2,2,3,3,5,5,5,5,5,5,5
MQTT,b'Device - 134',6,0,0,0.8333333333333334,0,5,10265.0,0.00792783861096038,0.0,0,0,0,0,5,5,5,5,5,5,5
MQTT,b'Device - 135',6,0,0,1.0,0,5,10265.0,0.00792783861096038,0.0,0,0,1,1,5,5,5,5,5,5,5
MQTT,b'Device - 136',6,0,0,0.8333333333333334,0,4,10265.0,0.00792783861096038,0.0,0,0,1,1,4,4,4,4,4,4,4
MQTT,b'Device - 137',5,0,0,0.8,0,4,10265.0,0.006606532175800317,0.0,0,0,0,4,4,4,4,4,4,4,4
MQTT,b'Device - 138',5,0,0,1.0,0,4,10265.0,0.006606532175800317,0.0,0,1,1,4,4,4,4,4,4,4,4
MQTT,b'Device - 139',8,0,0,1.0,0,3,10265.0,0.010570451481280507,0.0,1,1,3,3,3,3,3,3,3,3,3
MQTT,b'Device - 14',6,0,1,1.3333333333333333,0,5,10264.0,0.00792783861096038,0.0,1,1,1,1,5,5,5,5,5,5,5
MQTT,b'Device - 140',5,0,0,1.4,0,6,10265.0,0.006606532175800317,0.0,0,1,1,6,6,6,6,6,6,6,6
MQTT,b'Device - 141',8,0,0,0.375,0,1,10265.0,0.010570451481280507,0.0,0,1,1,1,1,1,1,1,1,1,1
MQTT,b'Device - 142',7,0,1,1.5714285714285714,0,8,10265.0,0.009249145046120443,0.0,1,1,1,1,8,8,8,8,8,8,8
MQTT,b'Device - 143',9,0,0,1.3333333333333333,0,9,10265.0,0.01189175791644057,0.0,0,0,1,2,9,9,9,9,9,9,9
MQTT,b'Device - 144',7,0,1,2.4285714285714284,0,12,10265.0,0.009249145046120443,0.0,1,2,2,2,12,12,12,12,12,12,12
MQTT,b'Device - 145',10,0,0,1.3,0,12,10265.0,0.013213064351600634,0.0,0,0,0,1,12,12,12,12,12,12,12
MQTT,b'Device - 146',6,0,1,2.5,0,12,10265.0,0.00792783861096038,0.0,1,1,1,1,12,12,12,12,12,12,12
MQTT,b'Device - 147',7,0,1,2.0,0,11,10265.0,0.009249145046120443,0.0,1,1,1,1,11,11,11,11,11,11,11
MQTT,b'Device - 148',7,0,1,2.0,0,11,10265.0,0.009249145046120443,0.0,1,1,1,1,11,11,11,11,11,11,11
MQTT,b'Device - 149',8,0,0,1.875,0,11,10265.0,0.010570451481280507,0.0,0,1,3,3,11,11,11,11,11,11,11
MQTT,b'Device - 15',9,0,1,1.1111111111111112,0,5,10264.0,0.01189175791644057,0.0,1,1,1,1,5,5,5,5,5,5,5
MQTT,b'Device - 150',5,0,0,1.8,0,7,10265.0,0.006606532175800317,0.0,0,2,2,7,7,7,7,7,7,7,7
MQTT,b'Device - 151',9,0,0,0.4444444444444444,0,1,10265.0,0.01189175791644057,0.0,0,1,1,1,1,1,1,1,1,1,1
MQTT,b'Device - 152',7,0,0,1.0,0,5,10265.0,0.009249145046120443,0.0,0,1,1,1,5,5,5,5,5,5,5
MQTT,b'Device - 153',7,0,1,1.1428571428571428,0,5,10265.0,0.009249145046120443,0.0,1,1,1,1,5,5,5,5,5,5,5
MQTT,b'Device - 154',7,0,0,1.0,0,6,10265.0,0.009249145046120443,0.0,0,0,1,1,6,6,6,6,6,6,6
MQTT,b'Device - 155',9,0,0,1.0,0,6,10265.0,0.01189175791644057,0.0,0,0,0,3,6,6,6,6,6,6,6
MQTT,b'Device - 156',4,0,0,1.75,0,6,10265.0,0.005285225740640253,0.0,1,1,6,6,6,6,6,6,6,6,6
MQTT,b'Device - 157',8,0,0,1.25,0,6,10265.0,0.010570451481280507,0.0,0,0,4,4,6,6,6,6,6,6,6
MQTT,b'Device - 158',6,0,0,1.1666666666666667,0,5,10265.0,0.00792783861096038,0.0,1,1,1,1,5,5,5,5,5,5,5
MQTT,b'Device - 159',5,0,0,1.2,0,5,10265.0,0.006606532175800317,0.0,0,1,1,5,5,5,5,5,5,5,5
MQTT,b'Device - 16',9,0,0,0.6666666666666666,0,4,10264.0,0.01189175791644057,0.0,0,0,1,1,4,4,4,4,4,4,4
MQTT,b'Device - 160',7,0,0,1.0,0,6,10265.0,0.009249145046120443,0.0,0,0,1,1,6,6,6,6,6,6,6
