Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
MQTT,b'Device - 1',3,0,0,1.3333333333333333,0,4,10263.0,0.005000586946159637,0.0,0,0,4,4,4,4,4,4,4,4,4
MQTT,b'Device - 10',1,0,7,7.0,7,7,10264.0,0.001666862315386546,0.0,7,7,7,7,7,7,7,7,7,7,7
MQTT,b'Device - 100',1,0,5,5.0,5,5,10265.0,0.001666862315386546,0.0,5,5,5,5,5,5,5,5,5,5,5
MQTT,b'Device - 101',61,0,0,0.04918032786885246,0,3,10265.0,0.1016786012385793,0.0,0,0,0,0,0,0,0,3,3,3,3
MQTT,b'Device - 102',38,0,0,0.07894736842105263,0,3,10265.0,0.06334076798468874,0.0,0,0,0,0,0,0,3,3,3,3,3
MQTT,b'Device - 103',58,0,0,0.896551724137931,0,51,10265.0,0.09667801429241966,0.0,0,0,0,0,0,0,1,51,51,51,51
MQTT,b'Device - 104',23,0,0,0.13043478260869565,0,3,10265.0,0.038337833253890556,0.0,0,0,0,0,0,0,3,3,3,3,3
MQTT,b'Device - 105',12,0,0,0.25,0,3,10265.0,0.02000234778463855,0.0,0,0,0,0,0,3,3,3,3,3,3
MQTT,b'Device - 106',5,0,0,11.2,0,56,10265.0,0.00833431157693273,0.0,0,0,0,56,56,56,56,56,56,56,56
MQTT,b'Device - 107',1,0,49,49.0,49,49,10265.0,0.001666862315386546,0.0,49,49,49,49,49,49,49,49,49,49,49
MQTT,b'Device - 108',12,0,0,4.0,0,48,10265.0,0.02000234778463855,0.0,0,0,0,0,0,48,48,48,48,48,48
MQTT,b'Device - 109',6,0,0,176.16666666666666,0,1002,10265.0,0.010001173892319274,0.0,0,0,55,55,1000,1000,1000,1000,1000,1000,1000
MQTT,b'Device - 11',24,0,0,0.3333333333333333,0,6,10264.0,0.0400046955692771,0.0,0,0,0,0,0,2,6,6,6,6,6
MQTT,b'Device - 110',1,0,48,48.0,48,48,10265.0,0.001666862315386546,0.0,48,48,48,48,48,48,48,48,48,48,48
MQTT,b'Device - 111',42,0,0,1.1428571428571428,0,48,10265.0,0.07000821724623492,0.0,0,0,0,0,0,0,48,48,48,48,48
MQTT,b'Device - 112',1,0,5,5.0,5,5,10265.0,0.001666862315386546,0.0,5,5,5,5,5,5,5,5,5,5,5
MQTT,b'Device - 113',60,0,0,0.1,0,5,10265.0,0.10001173892319275,0.0,0,0,0,0,0,0,1,5,5,5,5
MQTT,b'Device - 114',3,0,0,1.6666666666666667,0,5,10265.0,0.005000586946159637,0.0,0,0,5,5,5,5,5,5,5,5,5
MQTT,b'Device - 115',2,0,0,2.5,0,5,10265.0,0.003333724630773092,0.0,5,5,5,5,5,5,5,5,5,5,5
MQTT,b'Device - 116',2,0,0,5.5,0,11,10265.0,0.003333724630773092,0.0,11,11,11,11,11,11,11,11,11,11,11
MQTT,b'Device - 117',1,0,12,12.0,12,12,10265.0,0.001666862315386546,0.0,12,12,12,12,12,12,12,12,12,12,12
MQTT,b'Device - 118',6,0,0,3.0,0,18,10265.0,0.010001173892319274,0.0,0,0,0,0,18,18,18,18,18,18,18
MQTT,b'Device - 119',38,0,0,0.23684210526315788,0,9,10265.0,0.06334076798468874,0.0,0,0,0,0,0,0,9,9,9,9,9
MQTT,b'Device - 12',13,0,0,0.23076923076923078,0,3,10264.0,0.021669210100025097,0.0,0,0,0,0,0,3,3,3,3,3,3
MQTT,b'Device - 120',2,0,0,4.5,0,9,10265.0,0.003333724630773092,0.0,9,9,9,9,9,9,9,9,9,9,9
MQTT,b'Device - 121',1,0,14,14.0,14,14,10265.0,0.001666862315386546,0.0,14,14,14,14,14,14,14,14,14,14,14
MQTT,b'Device - 122',56,0,0,0.2857142857142857,0,15,10265.0,0.09334428966164657,0.0,0,0,0,0,0,0,1,15,15,15,15
