Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
MQTT,b'Device - 1',11,0,0,92.63636363636364,0,1013,1047.0,0.018353099590635687,0.0,0,1,1,1,4,1000,1000,1000,1000,1000,1000
MQTT,b'Device - 10',5,0,0,1.2,0,6,1048.0,0.008342317995743495,0.0,0,0,0,6,6,6,6,6,6,6,6
MQTT,b'Device - 100',6,0,0,1.1666666666666667,0,5,1049.0,0.010010781594892193,0.0,1,1,1,1,5,5,5,5,5,5,5
MQTT,b'Device - 101',16,0,0,0.375,0,5,1049.0,0.026695417586379184,0.0,0,0,0,0,1,5,5,5,5,5,5
MQTT,b'Device - 102',17,0,0,0.4117647058823529,0,4,1049.0,0.028363881185527882,0.0,0,0,0,0,2,4,4,4,4,4,4
MQTT,b'Device - 103',5,0,0,0.8,0,4,1049.0,0.008342317995743495,0.0,0,0,0,4,4,4,4,4,4,4,4
MQTT,b'Device - 104',9,0,0,0.6666666666666666,0,4,1049.0,0.01501617239233829,0.0,0,0,1,1,4,4,4,4,4,4,4
MQTT,b'Device - 105',21,0,0,0.3333333333333333,0,4,1049.0,0.03503773558212268,0.0,0,0,0,0,1,1,4,4,4,4,4
MQTT,b'Device - 106',9,0,0,0.4444444444444444,0,4,1049.0,0.01501617239233829,0.0,0,0,0,0,4,4,4,4,4,4,4
MQTT,b'Device - 107',7,0,0,0.7142857142857143,0,3,1049.0,0.011679245194040892,0.0,0,1,1,1,3,3,3,3,3,3,3
MQTT,b'Device - 108',28,0,0,0.35714285714285715,0,3,1049.0,0.04671698077616357,0.0,0,0,1,1,1,1,3,3,3,3,3
MQTT,b'Device - 109',14,0,0,0.35714285714285715,0,3,1049.0,0.023358490388081785,0.0,0,0,0,1,1,3,3,3,3,3,3
MQTT,b'Device - 11',9,0,0,0.3333333333333333,0,3,1048.0,0.01501617239233829,0.0,0,0,0,0,3,3,3,3,3,3,3
