Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
MQTT,b'Device - 1',2,0,0,1.5,0,3,10263.0,0.003325715699572265,0.0,3,3,3,3,3,3,3,3,3,3,3
MQTT,b'Device - 10',1,0,6,6.0,6,6,10264.0,0.0016628578497861325,0.0,6,6,6,6,6,6,6,6,6,6,6
MQTT,b'Device - 100',1,0,2,2.0,2,2,10265.0,0.0016628578497861325,0.0,2,2,2,2,2,2,2,2,2,2,2
MQTT,b'Device - 101',1,0,2,2.0,2,2,10265.0,0.0016628578497861325,0.0,2,2,2,2,2,2,2,2,2,2,2
MQTT,b'Device - 102',2,0,0,1.0,0,2,10265.0,0.003325715699572265,0.0,2,2,2,2,2,2,2,2,2,2,2
MQTT,b'Device - 103',2,0,0,1.0,0,2,10265.0,0.003325715699572265,0.0,2,2,2,2,2,2,2,2,2,2,2
MQTT,b'Device - 104',1,0,2,2.0,2,2,10265.0,0.0016628578497861325,0.0,2,2,2,2,2,2,2,2,2,2,2
MQTT,b'Device - 105',1,0,2,2.0,2,2,10265.0,0.0016628578497861325,0.0,2,2,2,2,2,2,2,2,2,2,2
MQTT,b'Device - 106',2,0,0,28.5,0,57,10265.0,0.003325715699572265,0.0,57,57,57,57,57,57,57,57,57,57,57
MQTT,b'Device - 107',1,0,57,57.0,57,57,10265.0,0.0016628578497861325,0.0,57,57,57,57,57,57,57,57,57,57,57
MQTT,b'Device - 108',1,0,57,57.0,57,57,10265.0,0.0016628578497861325,0.0,57,57,57,57,57,57,57,57,57,57,57
MQTT,b'Device - 109',1,0,57,57.0,57,57,10265.0,0.0016628578497861325,0.0,57,57,57,57,57,57,57,57,57,57,57
MQTT,b'Device - 11',3,0,0,2.0,0,6,10264.0,0.004988573549358398,0.0,0,0,6,6,6,6,6,6,6,6,6
MQTT,b'Device - 110',2,0,0,28.5,0,57,10265.0,0.003325715699572265,0.0,57,57,57,57,57,57,57,57,57,57,57
MQTT,b'Device - 111',2,0,0,28.5,0,57,10265.0,0.003325715699572265,0.0,57,57,57,57,57,57,57,57,57,57,57
MQTT,b'Device - 112',1,0,7,7.0,7,7,10265.0,0.0016628578497861325,0.0,7,7,7,7,7,7,7,7,7,7,7
MQTT,b'Device - 113',1,0,7,7.0,7,7,10265.0,0.0016628578497861325,0.0,7,7,7,7,7,7,7,7,7,7,7
MQTT,b'Device - 114',1,0,7,7.0,7,7,10265.0,0.0016628578497861325,0.0,7,7,7,7,7,7,7,7,7,7,7
MQTT,b'Device - 115',1,0,7,7.0,7,7,10265.0,0.0016628578497861325,0.0,7,7,7,7,7,7,7,7,7,7,7
MQTT,b'Device - 116',1,0,7,7.0,7,7,10265.0,0.0016628578497861325,0.0,7,7,7,7,7,7,7,7,7,7,7
MQTT,b'Device - 117',1,0,7,7.0,7,7,10265.0,0.0016628578497861325,0.0,7,7,7,7,7,7,7,7,7,7,7
MQTT,b'Device - 118',2,0,0,4.0,0,8,10265.0,0.003325715699572265,0.0,8,8,8,8,8,8,8,8,8,8,8
MQTT,b'Device - 119',1,0,8,8.0,8,8,10265.0,0.0016628578497861325,0.0,8,8,8,8,8,8,8,8,8,8,8
MQTT,b'Device - 12',3,0,0,3.0,0,9,10264.0,0.004988573549358398,0.0,0,0,9,9,9,9,9,9,9,9,9
MQTT,b'Device - 120',3,0,0,3.0,0,9,10265.0,0.004988573549358398,0.0,0,0,9,9,9,9,9,9,9,9,9
MQTT,b'Device - 121',2,0,0,4.5,0,9,10265.0,0.003325715699572265,0.0,9,9,9,9,9,9,9,9,9,9,9
MQTT,b'Device - 122',1,0,9,9.0,9,9,10265.0,0.0016628578497861325,0.0,9,9,9,9,9,9,9,9,9,9,9
MQTT,b'Device - 123',1,0,9,9.0,9,9,10265.0,0.0016628578497861325,0.0,9,9,9,9,9,9,9,9,9,9,9
MQTT,b'Device - 124',1,0,10,10.0,10,10,10265.0,0.0016628578497861325,0.0,10,10,10,10,10,10,10,10,10,10,10
MQTT,b'Device - 125',2,0,0,5.0,0,10,10265.0,0.003325715699572265,0.0,10,10,10,10,10,10,10,10,10,10,10
MQTT,b'Device - 126',1,0,5,5.0,5,5,10265.0,0.0016628578497861325,0.0,5,5,5,5,5,5,5,5,5,5,5
MQTT,b'Device - 127',2,0,0,2.5,0,5,10265.0,0.003325715699572265,0.0,5,5,5,5,5,5,5,5,5,5,5
MQTT,b'Device - 128',1,0,5,5.0,5,5,10265.0,0.0016628578497861325,0.0,5,5,5,5,5,5,5,5,5,5,5
MQTT,b'Device - 129',3,0,0,2.3333333333333335,0,7,10265.0,0.004988573549358398,0.0,0,0,7,7,7,7,7,7,7,7,7
MQTT,b'Device - 13',1,0,9,9.0,9,9,10264.0,0.0016628578497861325,0.0,9,9,9,9,9,9,9,9,9,9,9
MQTT,b'Device - 130',1,0,7,7.0,7,7,10265.0,0.0016628578497861325,0.0,7,7,7,7,7,7,7,7,7,7,7
MQTT,b'Device - 131',2,0,0,3.5,0,7,10265.0,0.003325715699572265,0.0,7,7,7,7,7,7,7,7,7,7,7
MQTT,b'Device - 132',4,0,0,1.75,0,7,10265.0,0.00665143139914453,0.0,0,0,7,7,7,7,7,7,7,7,7
MQTT,b'Device - 133',2,0,0,3.5,0,7,10265.0,0.003325715699572265,0.0,7,7,7,7,7,7,7,7,7,7,7
MQTT,b'Device - 134',2,0,0,2.5,0,5,10265.0,0.003325715699572265,0.0,5,5,5,5,5,5,5,5,5,5,5
MQTT,b'Device - 135',1,0,5,5.0,5,5,10265.0,0.0016628578497861325,0.0,5,5,5,5,5,5,5,5,5,5,5
MQTT,b'Device - 136',1,0,9,9.0,9,9,10265.0,0.0016628578497861325,0.0,9,9,9,9,9,9,9,9,9,9,9
MQTT,b'Device - 137',3,0,0,3.0,0,9,10265.0,0.004988573549358398,0.0,0,0,9,9,9,9,9,9,9,9,9
MQTT,b'Device - 138',1,0,9,9.0,9,9,10265.0,0.0016628578497861325,0.0,9,9,9,9,9,9,9,9,9,9,9
MQTT,b'Device - 139',2,0,0,4.5,0,9,10265.0,0.003325715699572265,0.0,9,9,9,9,9,9,9,9,9,9,9
MQTT,b'Device - 14',3,0,0,3.0,0,9,10264.0,0.004988573549358398,0.0,0,0,9,9,9,9,9,9,9,9,9
MQTT,b'Device - 140',1,0,9,9.0,9,9,10265.0,0.0016628578497861325,0.0,9,9,9,9,9,9,9,9,9,9,9
MQTT,b'Device - 141',1,0,9,9.0,9,9,10265.0,0.0016628578497861325,0.0,9,9,9,9,9,9,9,9,9,9,9
MQTT,b'Device - 142',3,0,0,2.6666666666666665,0,8,10265.0,0.004988573549358398,0.0,0,0,8,8,8,8,8,8,8,8,8
MQTT,b'Device - 143',3,0,0,2.6666666666666665,0,8,10265.0,0.004988573549358398,0.0,0,0,8,8,8,8,8,8,8,8,8
MQTT,b'Device - 144',2,0,0,4.0,0,8,10265.0,0.003325715699572265,0.0,8,8,8,8,8,8,8,8,8,8,8
MQTT,b'Device - 145',1,0,10,10.0,10,10,10265.0,0.0016628578497861325,0.0,10,10,10,10,10,10,10,10,10,10,10
MQTT,b'Device - 146',2,0,0,5.0,0,10,10265.0,0.003325715699572265,0.0,10,10,10,10,10,10,10,10,10,10,10
MQTT,b'Device - 147',1,0,10,10.0,10,10,10265.0,0.0016628578497861325,0.0,10,10,10,10,10,10,10,10,10,10,10
MQTT,b'Device - 148',2,0,0,5.0,0,10,10265.0,0.003325715699572265,0.0,10,10,10,10,10,10,10,10,10,10,10
MQTT,b'Device - 149',2,0,0,5.0,0,10,10265.0,0.003325715699572265,0.0,10,10,10,10,10,10,10,10,10,10,10
MQTT,b'Device - 15',1,0,5,5.0,5,5,10264.0,0.0016628578497861325,0.0,5,5,5,5,5,5,5,5,5,5,5
MQTT,b'Device - 150',2,0,0,5.0,0,10,10265.0,0.003325715699572265,0.0,10,10,10,10,10,10,10,10,10,10,10
MQTT,b'Device - 151',1,0,10,10.0,10,10,10265.0,0.0016628578497861325,0.0,10,10,10,10,10,10,10,10,10,10,10
MQTT,b'Device - 152',2,0,0,5.0,0,10,10265.0,0.003325715699572265,0.0,10,10,10,10,10,10,10,10,10,10,10
MQTT,b'Device - 153',2,0,0,5.0,0,10,10265.0,0.003325715699572265,0.0,10,10,10,10,10,10,10,10,10,10,10
MQTT,b'Device - 154',1,0,10,10.0,10,10,10265.0,0.0016628578497861325,0.0,10,10,10,10,10,10,10,10,10,10,10
MQTT,b'Device - 155',2,0,0,5.0,0,10,10265.0,0.003325715699572265,0.0,10,10,10,10,10,10,10,10,10,10,10
MQTT,b'Device - 156',1,0,5,5.0,5,5,10265.0,0.0016628578497861325,0.0,5,5,5,5,5,5,5,5,5,5,5
MQTT,b'Device - 157',1,0,5,5.0,5,5,10265.0,0.0016628578497861325,0.0,5,5,5,5,5,5,5,5,5,5,5
MQTT,b'Device - 158',2,0,0,2.5,0,5,10265.0,0.003325715699572265,0.0,5,5,5,5,5,5,5,5,5,5,5
MQTT,b'Device - 159',1,0,5,5.0,5,5,10265.0,0.0016628578497861325,0.0,5,5,5,5,5,5,5,5,5,5,5
MQTT,b'Device - 16',1,0,5,5.0,5,5,10264.0,0.0016628578497861325,0.0,5,5,5,5,5,5,5,5,5,5,5
MQTT,b'Device - 160',1,0,5,5.0,5,5,10265.0,0.0016628578497861325,0.0,5,5,5,5,5,5,5,5,5,5,5
MQTT,b'Device - 161',1,0,6,6.0,6,6,10265.0,0.0016628578497861325,0.0,6,6,6,6,6,6,6,6,6,6,6
MQTT,b'Device - 162',1,0,10,10.0,10,10,10265.0,0.0016628578497861325,0.0,10,10,10,10,10,10,10,10,10,10,10
MQTT,b'Device - 163',2,0,0,5.0,0,10,10265.0,0.003325715699572265,0.0,10,10,10,10,10,10,10,10,10,10,10
