Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
MQTT,b'Device - 1',11,0,0,0.0,0,0,1047.0,0.017396883415822656,0.0,0,0,0,0,0,0,0,0,0,0,0
MQTT,b'Device - 10',8,0,0,0.0,0,0,1048.0,0.012652278847871021,0.0,0,0,0,0,0,0,0,0,0,0,0
MQTT,b'Device - 100',9,0,0,0.2222222222222222,0,2,1049.0,0.0142338137038549,0.0,0,0,0,0,2,2,2,2,2,2,2
MQTT,b'Device - 101',8,0,0,0.0,0,0,1049.0,0.012652278847871021,0.0,0,0,0,0,0,0,0,0,0,0,0
MQTT,b'Device - 102',7,0,0,0.2857142857142857,0,2,1049.0,0.011070743991887145,0.0,0,0,0,0,2,2,2,2,2,2,2
MQTT,b'Device - 103',7,0,0,0.14285714285714285,0,1,1049.0,0.011070743991887145,0.0,0,0,0,0,1,1,1,1,1,1,1
MQTT,b'Device - 104',6,0,0,0.3333333333333333,0,2,1049.0,0.009489209135903266,0.0,0,0,0,0,2,2,2,2,2,2,2
MQTT,b'Device - 105',9,0,0,0.1111111111111111,0,1,1049.0,0.0142338137038549,0.0,0,0,0,0,1,1,1,1,1,1,1
MQTT,b'Device - 106',7,0,0,0.14285714285714285,0,1,1049.0,0.011070743991887145,0.0,0,0,0,0,1,1,1,1,1,1,1
MQTT,b'Device - 107',4,0,0,0.25,0,1,1049.0,0.0063261394239355105,0.0,0,0,1,1,1,1,1,1,1,1,1
MQTT,b'Device - 108',8,0,0,0.125,0,1,1049.0,0.012652278847871021,0.0,0,0,0,0,1,1,1,1,1,1,1
MQTT,b'Device - 109',7,0,0,0.14285714285714285,0,1,1049.0,0.011070743991887145,0.0,0,0,0,0,1,1,1,1,1,1,1
MQTT,b'Device - 11',10,0,0,0.0,0,0,1048.0,0.015815348559838776,0.0,0,0,0,0,0,0,0,0,0,0,0
MQTT,b'Device - 110',6,0,0,0.3333333333333333,0,2,1049.0,0.009489209135903266,0.0,0,0,0,0,2,2,2,2,2,2,2
