Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
MQTT,b'Device - 1',48,0,0,0.25,0,9,10263.0,0.08000295471931435,0.0,0,0,0,0,0,1,9,9,9,9,9
MQTT,b'Device - 10',1,0,9,9.0,9,9,10264.0,0.001666728223319049,0.0,9,9,9,9,9,9,9,9,9,9,9
MQTT,b'Device - 100',3,0,1,1.6666666666666667,0,4,10265.0,0.005000184669957147,0.0,1,1,4,4,4,4,4,4,4,4,4
MQTT,b'Device - 101',17,0,0,2.1176470588235294,0,24,10265.0,0.028334379796423833,0.0,0,0,0,0,11,24,24,24,24,24,24
MQTT,b'Device - 102',3,0,0,0.6666666666666666,0,2,10265.0,0.005000184669957147,0.0,0,0,2,2,2,2,2,2,2,2,2
MQTT,b'Device - 103',17,0,0,0.8235294117647058,0,14,10265.0,0.028334379796423833,0.0,0,0,0,0,0,14,14,14,14,14,14
MQTT,b'Device - 104',1,0,2,2.0,2,2,10265.0,0.001666728223319049,0.0,2,2,2,2,2,2,2,2,2,2,2
MQTT,b'Device - 105',24,0,0,0.625,0,14,10265.0,0.04000147735965717,0.0,0,0,0,0,0,1,14,14,14,14,14
MQTT,b'Device - 106',3,0,0,4.0,0,12,10265.0,0.005000184669957147,0.0,0,0,12,12,12,12,12,12,12,12,12
MQTT,b'Device - 107',1,0,16,16.0,16,16,10265.0,0.001666728223319049,0.0,16,16,16,16,16,16,16,16,16,16,16
MQTT,b'Device - 108',4,0,0,4.0,0,16,10265.0,0.006666912893276196,0.0,0,0,16,16,16,16,16,16,16,16,16
MQTT,b'Device - 109',3,0,0,4.0,0,12,10265.0,0.005000184669957147,0.0,0,0,12,12,12,12,12,12,12,12,12
MQTT,b'Device - 11',1,0,8,8.0,8,8,10264.0,0.001666728223319049,0.0,8,8,8,8,8,8,8,8,8,8,8
MQTT,b'Device - 110',46,0,0,0.34782608695652173,0,16,10265.0,0.07666949827267625,0.0,0,0,0,0,0,0,16,16,16,16,16
MQTT,b'Device - 111',38,0,0,0.18421052631578946,0,3,10265.0,0.06333567248612386,0.0,0,0,0,0,0,3,3,3,3,3,3
