Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
MQTT,b'Device - 1',6,0,0,0.0,0,0,1047.0,0.008178596146165052,0.0,0,0,0,0,0,0,0,0,0,0,0
MQTT,b'Device - 10',8,0,0,0.0,0,0,1048.0,0.010904794861553402,0.0,0,0,0,0,0,0,0,0,0,0,0
MQTT,b'Device - 100',5,0,0,0.0,0,0,1049.0,0.006815496788470876,0.0,0,0,0,0,0,0,0,0,0,0,0
MQTT,b'Device - 101',4,0,0,0.0,0,0,1049.0,0.005452397430776701,0.0,0,0,0,0,0,0,0,0,0,0,0
MQTT,b'Device - 102',7,0,0,0.0,0,0,1049.0,0.009541695503859226,0.0,0,0,0,0,0,0,0,0,0,0,0
MQTT,b'Device - 103',7,0,0,0.0,0,0,1049.0,0.009541695503859226,0.0,0,0,0,0,0,0,0,0,0,0,0
MQTT,b'Device - 104',11,0,0,1.1818181818181819,0,11,1049.0,0.014994092934635926,0.0,0,0,0,0,2,11,11,11,11,11,11
MQTT,b'Device - 105',4,0,0,0.25,0,1,1049.0,0.005452397430776701,0.0,0,0,1,1,1,1,1,1,1,1,1
MQTT,b'Device - 106',5,0,0,0.2,0,1,1049.0,0.006815496788470876,0.0,0,0,0,1,1,1,1,1,1,1,1
MQTT,b'Device - 107',6,0,0,0.0,0,0,1049.0,0.008178596146165052,0.0,0,0,0,0,0,0,0,0,0,0,0
MQTT,b'Device - 108',6,0,0,0.0,0,0,1049.0,0.008178596146165052,0.0,0,0,0,0,0,0,0,0,0,0,0
MQTT,b'Device - 109',5,0,0,0.0,0,0,1049.0,0.006815496788470876,0.0,0,0,0,0,0,0,0,0,0,0,0
MQTT,b'Device - 11',8,0,0,254.25,0,2032,1048.0,0.010904794861553402,0.0,0,0,2,2,2000,2000,2000,2000,2000,2000,2000
MQTT,b'Device - 110',6,0,0,0.16666666666666666,0,1,1049.0,0.008178596146165052,0.0,0,0,0,0,1,1,1,1,1,1,1
MQTT,b'Device - 111',5,0,0,0.2,0,1,1049.0,0.006815496788470876,0.0,0,0,0,1,1,1,1,1,1,1,1
MQTT,b'Device - 112',8,0,0,0.125,0,1,1049.0,0.010904794861553402,0.0,0,0,0,0,1,1,1,1,1,1,1
MQTT,b'Device - 113',6,0,0,0.0,0,0,1049.0,0.008178596146165052,0.0,0,0,0,0,0,0,0,0,0,0,0
MQTT,b'Device - 114',8,0,0,0.375,0,3,1049.0,0.010904794861553402,0.0,0,0,0,0,3,3,3,3,3,3,3
MQTT,b'Device - 115',6,0,0,0.0,0,0,1049.0,0.008178596146165052,0.0,0,0,0,0,0,0,0,0,0,0,0
MQTT,b'Device - 116',5,0,0,0.2,0,1,1049.0,0.006815496788470876,0.0,0,0,0,1,1,1,1,1,1,1,1
MQTT,b'Device - 117',4,0,0,0.0,0,0,1049.0,0.005452397430776701,0.0,0,0,0,0,0,0,0,0,0,0,0
MQTT,b'Device - 118',11,0,0,19.454545454545453,0,214,1049.0,0.014994092934635926,0.0,0,0,0,0,0,210,210,210,210,210,210
MQTT,b'Device - 119',6,0,0,0.0,0,0,1049.0,0.008178596146165052,0.0,0,0,0,0,0,0,0,0,0,0,0
MQTT,b'Device - 12',7,0,0,0.0,0,0,1048.0,0.009541695503859226,0.0,0,0,0,0,0,0,0,0,0,0,0
MQTT,b'Device - 120',6,0,0,0.16666666666666666,0,1,1049.0,0.008178596146165052,0.0,0,0,0,0,1,1,1,1,1,1,1
MQTT,b'Device - 121',7,0,0,68.85714285714286,0,480,1049.0,0.009541695503859226,0.0,0,1,1,1,480,480,480,480,480,480,480
MQTT,b'Device - 122',7,0,0,0.14285714285714285,0,1,1049.0,0.009541695503859226,0.0,0,0,0,0,1,1,1,1,1,1,1
MQTT,b'Device - 123',6,0,0,0.16666666666666666,0,1,1049.0,0.008178596146165052,0.0,0,0,0,0,1,1,1,1,1,1,1
MQTT,b'Device - 124',6,0,0,62.5,0,374,1049.0,0.008178596146165052,0.0,0,0,1,1,370,370,370,370,370,370,370
