Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
MQTT,b'Device - 1',2,0,150,325.5,150,501,10263.0,0.003333601640732578,0.0,500,500,500,500,500,500,500,500,500,500,500
MQTT,b'Device - 10',3,0,140,234.0,131,430,10264.0,0.005000402461098867,0.0,140,140,430,430,430,430,430,430,430,430,430
MQTT,b'Device - 100',2,0,340,806.0,339,1273,10265.0,0.003333601640732578,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
MQTT,b'Device - 101',4,0,130,229.0,110,538,10265.0,0.006667203281465156,0.0,140,140,540,540,540,540,540,540,540,540,540
MQTT,b'Device - 102',2,0,154,343.5,154,533,10265.0,0.003333601640732578,0.0,530,530,530,530,530,530,530,530,530,530,530
MQTT,b'Device - 103',10,0,140,176.4,121,473,10265.0,0.01666800820366289,0.0,150,150,150,170,470,470,470,470,470,470,470
MQTT,b'Device - 104',19,0,150,230.10526315789474,117,1141,10265.0,0.03166921558695949,0.0,150,150,240,250,490,1100,1100,1100,1100,1100,1100
MQTT,b'Device - 105',1,0,474,474.0,474,474,10265.0,0.001666800820366289,0.0,470,470,470,470,470,470,470,470,470,470,470
MQTT,b'Device - 106',12,0,150,850.25,129,7282,10265.0,0.020001609844395467,0.0,150,150,490,490,1100,7300,7300,7300,7300,7300,7300
MQTT,b'Device - 107',2,0,804,1066.0,804,1328,10265.0,0.003333601640732578,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
MQTT,b'Device - 108',8,0,140,184.75,135,465,10265.0,0.013334406562930312,0.0,150,150,160,160,460,460,460,460,460,460,460
MQTT,b'Device - 109',3,0,140,272.6666666666667,140,533,10265.0,0.005000402461098867,0.0,140,140,530,530,530,530,530,530,530,530,530
MQTT,b'Device - 11',50,0,140,167.1,100,1177,10264.0,0.08334004101831445,0.0,140,140,150,150,160,170,1200,1200,1200,1200,1200
MQTT,b'Device - 110',18,0,140,164.66666666666666,122,533,10265.0,0.0300024147665932,0.0,150,150,150,150,180,530,530,530,530,530,530
MQTT,b'Device - 111',1,0,532,532.0,532,532,10265.0,0.001666800820366289,0.0,530,530,530,530,530,530,530,530,530,530,530
MQTT,b'Device - 112',1,0,533,533.0,533,533,10265.0,0.001666800820366289,0.0,530,530,530,530,530,530,530,530,530,530,530
MQTT,b'Device - 113',10,0,140,284.3,127,1251,10265.0,0.01666800820366289,0.0,140,150,150,490,1300,1300,1300,1300,1300,1300,1300
MQTT,b'Device - 114',2,0,134,327.0,134,520,10265.0,0.003333601640732578,0.0,520,520,520,520,520,520,520,520,520,520,520
MQTT,b'Device - 115',2,0,152,342.5,152,533,10265.0,0.003333601640732578,0.0,530,530,530,530,530,530,530,530,530,530,530
MQTT,b'Device - 116',10,0,130,254.5,122,1344,10265.0,0.01666800820366289,0.0,130,140,150,150,1300,1300,1300,1300,1300,1300,1300
MQTT,b'Device - 117',3,0,160,257.3333333333333,137,476,10265.0,0.005000402461098867,0.0,160,160,480,480,480,480,480,480,480,480,480
MQTT,b'Device - 118',1,0,532,532.0,532,532,10265.0,0.001666800820366289,0.0,530,530,530,530,530,530,530,530,530,530,530
MQTT,b'Device - 119',19,0,140,255.42105263157896,118,1289,10265.0,0.03166921558695949,0.0,140,160,160,160,1100,1300,1300,1300,1300,1300,1300
MQTT,b'Device - 12',11,0,140,169.0909090909091,127,472,10264.0,0.01833480902402918,0.0,140,140,160,160,160,470,470,470,470,470,470
MQTT,b'Device - 120',11,0,150,271.3636363636364,119,1175,10265.0,0.01833480902402918,0.0,150,170,170,170,520,1200,1200,1200,1200,1200,1200
MQTT,b'Device - 121',1,0,521,521.0,521,521,10265.0,0.001666800820366289,0.0,520,520,520,520,520,520,520,520,520,520,520
MQTT,b'Device - 122',1,0,533,533.0,533,533,10265.0,0.001666800820366289,0.0,530,530,530,530,530,530,530,530,530,530,530
MQTT,b'Device - 123',2,0,522,841.0,522,1160,10265.0,0.003333601640732578,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
MQTT,b'Device - 124',5,0,140,210.0,133,466,10265.0,0.008334004101831445,0.0,140,170,170,470,470,470,470,470,470,470,470
MQTT,b'Device - 125',15,0,160,172.93333333333334,94,466,10265.0,0.025002012305494335,0.0,160,160,170,180,260,470,470,470,470,470,470
MQTT,b'Device - 126',9,0,140,306.1111111111111,126,1148,10265.0,0.0150012073832966,0.0,140,140,260,550,1100,1100,1100,1100,1100,1100,1100
MQTT,b'Device - 127',1,0,465,465.0,465,465,10265.0,0.001666800820366289,0.0,460,460,460,460,460,460,460,460,460,460,460
MQTT,b'Device - 128',1,0,892,892.0,892,892,10265.0,0.001666800820366289,0.0,890,890,890,890,890,890,890,890,890,890,890
MQTT,b'Device - 129',2,0,490,836.5,486,1187,10265.0,0.003333601640732578,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
MQTT,b'Device - 13',1,0,444,444.0,444,444,10264.0,0.001666800820366289,0.0,440,440,440,440,440,440,440,440,440,440,440
MQTT,b'Device - 130',4,0,140,236.0,130,518,10265.0,0.006667203281465156,0.0,160,160,520,520,520,520,520,520,520,520,520
MQTT,b'Device - 131',2,0,134,312.5,134,491,10265.0,0.003333601640732578,0.0,490,490,490,490,490,490,490,490,490,490,490
MQTT,b'Device - 132',1,0,533,533.0,533,533,10265.0,0.001666800820366289,0.0,530,530,530,530,530,530,530,530,530,530,530
MQTT,b'Device - 133',8,0,130,1082.25,123,7331,10265.0,0.013334406562930312,0.0,140,160,520,520,7300,7300,7300,7300,7300,7300,7300
MQTT,b'Device - 134',4,0,130,222.0,126,471,10265.0,0.006667203281465156,0.0,160,160,470,470,470,470,470,470,470,470,470
MQTT,b'Device - 135',52,0,140,151.73076923076923,120,480,10265.0,0.08667364265904702,0.0,140,140,150,150,160,270,280,480,480,480,480
MQTT,b'Device - 136',9,0,150,442.1111111111111,134,1721,10265.0,0.0150012073832966,0.0,150,150,240,1100,1700,1700,1700,1700,1700,1700,1700
