Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
MQTT,b'Device - 1',1,0,16,16.0,16,16,10263.0,0.001667021941693248,0.0,16,16,16,16,16,16,16,16,16,16,16
MQTT,b'Device - 10',26,0,1,4.846153846153846,0,102,10264.0,0.04334257048402445,0.0,1,1,1,1,1,2,100,100,100,100,100
MQTT,b'Device - 100',24,0,1,1.875,0,23,10265.0,0.04000852660063795,0.0,1,1,1,1,1,1,23,23,23,23,23
MQTT,b'Device - 101',8,0,1,3.875,1,24,10265.0,0.013336175533545984,0.0,1,1,1,1,24,24,24,24,24,24,24
MQTT,b'Device - 102',12,0,1,3.0,0,23,10265.0,0.020004263300318976,0.0,1,1,1,1,4,23,23,23,23,23,23
MQTT,b'Device - 103',58,0,1,1.3620689655172413,0,23,10265.0,0.09668727261820839,0.0,1,1,1,1,1,2,3,23,23,23,23
MQTT,b'Device - 104',4,0,1,6.0,0,22,10265.0,0.006668087766772992,0.0,1,1,22,22,22,22,22,22,22,22,22
MQTT,b'Device - 105',24,0,1,2.0,0,22,10265.0,0.04000852660063795,0.0,1,1,1,1,2,5,22,22,22,22,22
MQTT,b'Device - 106',1,0,30,30.0,30,30,10265.0,0.001667021941693248,0.0,30,30,30,30,30,30,30,30,30,30,30
MQTT,b'Device - 107',1,0,31,31.0,31,31,10265.0,0.001667021941693248,0.0,31,31,31,31,31,31,31,31,31,31,31
MQTT,b'Device - 108',3,0,3,11.333333333333334,1,30,10265.0,0.005001065825079744,0.0,3,3,30,30,30,30,30,30,30,30,30
MQTT,b'Device - 109',1,0,30,30.0,30,30,10265.0,0.001667021941693248,0.0,30,30,30,30,30,30,30,30,30,30,30
MQTT,b'Device - 11',1,0,101,101.0,101,101,10264.0,0.001667021941693248,0.0,100,100,100,100,100,100,100,100,100,100,100
MQTT,b'Device - 110',1,0,30,30.0,30,30,10265.0,0.001667021941693248,0.0,30,30,30,30,30,30,30,30,30,30,30
MQTT,b'Device - 111',58,0,1,1.5517241379310345,0,29,10265.0,0.09668727261820839,0.0,1,1,1,1,1,1,8,29,29,29,29
MQTT,b'Device - 112',2,0,33,57.5,33,82,10265.0,0.003334043883386496,0.0,82,82,82,82,82,82,82,82,82,82,82
MQTT,b'Device - 113',1,0,19,19.0,19,19,10265.0,0.001667021941693248,0.0,19,19,19,19,19,19,19,19,19,19,19
MQTT,b'Device - 114',48,0,1,1.4791666666666667,1,19,10265.0,0.0800170532012759,0.0,1,1,1,1,1,3,19,19,19,19,19
MQTT,b'Device - 115',1,0,20,20.0,20,20,10265.0,0.001667021941693248,0.0,20,20,20,20,20,20,20,20,20,20,20
MQTT,b'Device - 116',58,0,1,1.3275862068965518,0,20,10265.0,0.09668727261820839,0.0,1,1,1,1,1,2,3,20,20,20,20
MQTT,b'Device - 117',1,0,21,21.0,21,21,10265.0,0.001667021941693248,0.0,21,21,21,21,21,21,21,21,21,21,21
MQTT,b'Device - 118',1,0,22,22.0,22,22,10265.0,0.001667021941693248,0.0,22,22,22,22,22,22,22,22,22,22,22
MQTT,b'Device - 119',11,0,1,3.0,1,22,10265.0,0.018337241358625727,0.0,1,1,1,1,2,22,22,22,22,22,22
MQTT,b'Device - 12',6,0,1,4.833333333333333,1,24,10264.0,0.010002131650159488,0.0,1,1,1,1,24,24,24,24,24,24,24
MQTT,b'Device - 120',2,0,28,3518.0,28,7008,10265.0,0.003334043883386496,0.0,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
MQTT,b'Device - 121',4,0,1,7.5,0,28,10265.0,0.006668087766772992,0.0,1,1,28,28,28,28,28,28,28,28,28
MQTT,b'Device - 122',3,0,1,10.333333333333334,1,29,10265.0,0.005001065825079744,0.0,1,1,29,29,29,29,29,29,29,29,29
MQTT,b'Device - 123',2,0,1,21.5,1,42,10265.0,0.003334043883386496,0.0,42,42,42,42,42,42,42,42,42,42,42
