Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
MQTT,b'Device - 1',10,0,0,0.0,0,0,10263.0,0.016635349203011403,0.0,0,0,0,0,0,0,0,0,0,0,0
MQTT,b'Device - 10',9,0,0,0.3333333333333333,0,3,10264.0,0.014971814282710265,0.0,0,0,0,0,3,3,3,3,3,3,3
MQTT,b'Device - 100',9,0,0,0.3333333333333333,0,3,10265.0,0.014971814282710265,0.0,0,0,0,0,3,3,3,3,3,3,3
MQTT,b'Device - 101',7,0,0,0.0,0,0,10265.0,0.011644744442107982,0.0,0,0,0,0,0,0,0,0,0,0,0
MQTT,b'Device - 102',8,0,0,0.25,0,2,10265.0,0.013308279362409123,0.0,0,0,0,0,2,2,2,2,2,2,2
MQTT,b'Device - 103',9,0,0,0.2222222222222222,0,2,10265.0,0.014971814282710265,0.0,0,0,0,0,2,2,2,2,2,2,2
MQTT,b'Device - 104',7,0,0,0.2857142857142857,0,2,10265.0,0.011644744442107982,0.0,0,0,0,0,2,2,2,2,2,2,2
MQTT,b'Device - 105',6,0,0,0.3333333333333333,0,2,10265.0,0.009981209521806842,0.0,0,0,0,0,2,2,2,2,2,2,2
MQTT,b'Device - 106',9,0,0,0.2222222222222222,0,2,10265.0,0.014971814282710265,0.0,0,0,0,0,2,2,2,2,2,2,2
MQTT,b'Device - 107',7,0,0,0.2857142857142857,0,2,10265.0,0.011644744442107982,0.0,0,0,0,0,2,2,2,2,2,2,2
MQTT,b'Device - 108',6,0,0,0.16666666666666666,0,1,10265.0,0.009981209521806842,0.0,0,0,0,0,1,1,1,1,1,1,1
MQTT,b'Device - 109',5,0,0,0.2,0,1,10265.0,0.008317674601505702,0.0,0,0,0,1,1,1,1,1,1,1,1
MQTT,b'Device - 11',7,0,0,0.0,0,0,10264.0,0.011644744442107982,0.0,0,0,0,0,0,0,0,0,0,0,0
MQTT,b'Device - 110',7,0,0,0.14285714285714285,0,1,10265.0,0.011644744442107982,0.0,0,0,0,0,1,1,1,1,1,1,1
MQTT,b'Device - 111',8,0,0,0.0,0,0,10265.0,0.013308279362409123,0.0,0,0,0,0,0,0,0,0,0,0,0
MQTT,b'Device - 112',7,0,0,0.5714285714285714,0,3,10265.0,0.011644744442107982,0.0,0,0,1,1,3,3,3,3,3,3,3
