Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
MQTT,b'Device - 1',1,0,7,7.0,7,7,10263.0,0.0016664094242523663,0.0,7,7,7,7,7,7,7,7,7,7,7
MQTT,b'Device - 10',2,0,1,3.0,1,5,10264.0,0.0033328188485047326,0.0,5,5,5,5,5,5,5,5,5,5,5
MQTT,b'Device - 100',2,0,0,1.0,0,2,10265.0,0.0033328188485047326,0.0,2,2,2,2,2,2,2,2,2,2,2
MQTT,b'Device - 101',1,0,1,1.0,1,1,10265.0,0.0016664094242523663,0.0,1,1,1,1,1,1,1,1,1,1,1
MQTT,b'Device - 102',1,0,1,1.0,1,1,10265.0,0.0016664094242523663,0.0,1,1,1,1,1,1,1,1,1,1,1
MQTT,b'Device - 103',1,0,7,7.0,7,7,10265.0,0.0016664094242523663,0.0,7,7,7,7,7,7,7,7,7,7,7
MQTT,b'Device - 104',1,0,7,7.0,7,7,10265.0,0.0016664094242523663,0.0,7,7,7,7,7,7,7,7,7,7,7
MQTT,b'Device - 105',2,0,0,3.5,0,7,10265.0,0.0033328188485047326,0.0,7,7,7,7,7,7,7,7,7,7,7
MQTT,b'Device - 106',1,0,7,7.0,7,7,10265.0,0.0016664094242523663,0.0,7,7,7,7,7,7,7,7,7,7,7
MQTT,b'Device - 107',2,0,0,3.5,0,7,10265.0,0.0033328188485047326,0.0,7,7,7,7,7,7,7,7,7,7,7
MQTT,b'Device - 108',1,0,7,7.0,7,7,10265.0,0.0016664094242523663,0.0,7,7,7,7,7,7,7,7,7,7,7
MQTT,b'Device - 109',3,0,0,2.0,0,6,10265.0,0.004999228272757099,0.0,0,0,6,6,6,6,6,6,6,6,6
MQTT,b'Device - 11',2,0,0,2.5,0,5,10264.0,0.0033328188485047326,0.0,5,5,5,5,5,5,5,5,5,5,5
