Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
MQTT,b'Device - 1',16,0,0,0.625,0,3,1047.0,0.02669380511990662,0.0,1,1,1,1,1,3,3,3,3,3,3
MQTT,b'Device - 10',10,0,1,0.9,0,4,1048.0,0.01668362819994164,0.0,1,1,1,1,4,4,4,4,4,4,4
MQTT,b'Device - 100',17,0,1,1.0,0,3,1049.0,0.028362167939900783,0.0,1,1,1,1,2,3,3,3,3,3,3
MQTT,b'Device - 101',10,0,1,1.3,0,8,1049.0,0.01668362819994164,0.0,1,1,1,1,8,8,8,8,8,8,8
MQTT,b'Device - 102',10,0,1,1.1,0,4,1049.0,0.01668362819994164,0.0,1,1,1,1,4,4,4,4,4,4,4
MQTT,b'Device - 103',7,0,1,2.7142857142857144,0,12,1049.0,0.011678539739959146,0.0,1,1,4,4,12,12,12,12,12,12,12
MQTT,b'Device - 104',10,0,1,1.5,0,4,1049.0,0.01668362819994164,0.0,1,1,1,4,4,4,4,4,4,4,4
MQTT,b'Device - 105',6,0,1,1.5,0,6,1049.0,0.010010176919964984,0.0,1,1,1,1,6,6,6,6,6,6,6
MQTT,b'Device - 106',8,0,1,1.0,0,3,1049.0,0.01334690255995331,0.0,1,1,1,1,3,3,3,3,3,3,3
MQTT,b'Device - 107',7,0,1,145.0,1,1005,1049.0,0.011678539739959146,0.0,1,1,5,5,1000,1000,1000,1000,1000,1000,1000
MQTT,b'Device - 108',6,0,1,1.5,0,5,1049.0,0.010010176919964984,0.0,1,1,2,2,5,5,5,5,5,5,5
MQTT,b'Device - 109',8,0,1,1.25,0,3,1049.0,0.01334690255995331,0.0,1,1,2,2,3,3,3,3,3,3,3
MQTT,b'Device - 11',8,0,1,1.125,0,3,1048.0,0.01334690255995331,0.0,1,1,1,1,3,3,3,3,3,3,3
MQTT,b'Device - 110',5,0,1,1.8,0,4,1049.0,0.00834181409997082,0.0,1,3,3,4,4,4,4,4,4,4,4
MQTT,b'Device - 111',7,0,1,1.5714285714285714,0,6,1049.0,0.011678539739959146,0.0,1,1,2,2,6,6,6,6,6,6,6
MQTT,b'Device - 112',10,0,1,1.0,0,5,1049.0,0.01668362819994164,0.0,1,1,1,1,5,5,5,5,5,5,5
MQTT,b'Device - 113',10,0,1,1.3,0,5,1049.0,0.01668362819994164,0.0,1,2,2,2,5,5,5,5,5,5,5
MQTT,b'Device - 114',15,0,1,0.8666666666666667,0,4,1049.0,0.025025442299912458,0.0,1,1,1,1,2,4,4,4,4,4,4
MQTT,b'Device - 115',15,0,1,1.8666666666666667,0,15,1049.0,0.025025442299912458,0.0,1,1,1,1,2,15,15,15,15,15,15
MQTT,b'Device - 116',9,0,1,0.8888888888888888,0,4,1049.0,0.015015265379947474,0.0,1,1,1,1,4,4,4,4,4,4,4
MQTT,b'Device - 117',5,0,1,1.4,0,3,1049.0,0.00834181409997082,0.0,1,2,2,3,3,3,3,3,3,3,3
MQTT,b'Device - 118',16,0,0,0.75,0,3,1049.0,0.02669380511990662,0.0,1,1,1,1,3,3,3,3,3,3,3
MQTT,b'Device - 119',7,0,1,0.8571428571428571,0,2,1049.0,0.011678539739959146,0.0,1,1,1,1,2,2,2,2,2,2,2
MQTT,b'Device - 12',8,0,1,1.0,0,4,1048.0,0.01334690255995331,0.0,1,1,1,1,4,4,4,4,4,4,4
MQTT,b'Device - 120',20,0,1,0.8,0,4,1049.0,0.03336725639988328,0.0,1,1,1,1,1,4,4,4,4,4,4
MQTT,b'Device - 121',5,0,1,1.2,0,4,1049.0,0.00834181409997082,0.0,1,1,1,4,4,4,4,4,4,4,4
MQTT,b'Device - 122',7,0,1,1.1428571428571428,0,4,1049.0,0.011678539739959146,0.0,1,1,1,1,4,4,4,4,4,4,4
MQTT,b'Device - 123',38,0,1,0.9473684210526315,0,4,1049.0,0.06339778715977823,0.0,1,1,1,1,2,4,4,4,4,4,4
MQTT,b'Device - 124',7,0,1,2.0,0,11,1049.0,0.011678539739959146,0.0,1,1,1,1,11,11,11,11,11,11,11
MQTT,b'Device - 125',10,0,0,1.0,0,5,1049.0,0.01668362819994164,0.0,1,1,1,2,5,5,5,5,5,5,5
MQTT,b'Device - 126',10,0,1,6304.2,0,63030,1049.0,0.01668362819994164,0.0,1,1,1,7,63000,63000,63000,63000,63000,63000,63000
MQTT,b'Device - 127',10,0,1,1.2,0,3,1049.0,0.01668362819994164,0.0,1,1,1,2,3,3,3,3,3,3,3
