Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
MQTT,b'Device - 1',7,0,1,4.142857142857143,0,20,10263.0,0.011668409517123295,0.0,1,1,5,5,20,20,20,20,20,20,20
MQTT,b'Device - 10',1,0,36,36.0,36,36,10264.0,0.0016669156453033279,0.0,36,36,36,36,36,36,36,36,36,36,36
MQTT,b'Device - 100',1,0,6,6.0,6,6,10265.0,0.0016669156453033279,0.0,6,6,6,6,6,6,6,6,6,6,6
MQTT,b'Device - 101',37,0,1,1.5405405405405406,0,29,10265.0,0.06167587887622313,0.0,1,1,1,1,1,2,29,29,29,29,29
MQTT,b'Device - 102',3,0,1,9.666666666666666,0,28,10265.0,0.0050007469359099836,0.0,1,1,28,28,28,28,28,28,28,28,28
MQTT,b'Device - 103',7,0,1,4.714285714285714,1,27,10265.0,0.011668409517123295,0.0,1,1,1,1,27,27,27,27,27,27,27
MQTT,b'Device - 104',57,0,1,1.105263157894737,0,20,10265.0,0.09501419178228969,0.0,1,1,1,1,1,1,2,20,20,20,20
MQTT,b'Device - 105',1,0,27,27.0,27,27,10265.0,0.0016669156453033279,0.0,27,27,27,27,27,27,27,27,27,27,27
MQTT,b'Device - 106',61,0,1,1.3934426229508197,0,36,10265.0,0.101681854363503,0.0,1,1,1,1,1,2,3,36,36,36,36
MQTT,b'Device - 107',2,0,7,21.5,7,36,10265.0,0.0033338312906066557,0.0,36,36,36,36,36,36,36,36,36,36,36
MQTT,b'Device - 108',58,0,1,1.3793103448275863,0,35,10265.0,0.09668110742759302,0.0,1,1,1,1,1,2,4,35,35,35,35
MQTT,b'Device - 109',3,0,1,12.0,1,34,10265.0,0.0050007469359099836,0.0,1,1,34,34,34,34,34,34,34,34,34
MQTT,b'Device - 11',58,0,1,260.0,0,15023,10264.0,0.09668110742759302,0.0,1,1,1,1,1,2,12,15000,15000,15000,15000
MQTT,b'Device - 110',6,0,1,6.5,0,35,10265.0,0.010001493871819967,0.0,1,1,1,1,35,35,35,35,35,35,35
MQTT,b'Device - 111',2,0,2,14.5,2,27,10265.0,0.0033338312906066557,0.0,27,27,27,27,27,27,27,27,27,27,27
MQTT,b'Device - 112',2,0,0,17.0,0,34,10265.0,0.0033338312906066557,0.0,34,34,34,34,34,34,34,34,34,34,34
MQTT,b'Device - 113',1,0,18,18.0,18,18,10265.0,0.0016669156453033279,0.0,18,18,18,18,18,18,18,18,18,18,18
MQTT,b'Device - 114',5,0,1,4.0,0,18,10265.0,0.00833457822651664,0.0,1,1,1,18,18,18,18,18,18,18,18
MQTT,b'Device - 115',2,0,1,10.0,1,19,10265.0,0.0033338312906066557,0.0,19,19,19,19,19,19,19,19,19,19,19
MQTT,b'Device - 116',13,0,1,2.230769230769231,0,19,10265.0,0.02166990338894326,0.0,1,1,1,1,3,19,19,19,19,19,19
MQTT,b'Device - 117',1,0,20,20.0,20,20,10265.0,0.0016669156453033279,0.0,20,20,20,20,20,20,20,20,20,20,20
MQTT,b'Device - 118',9,0,1,3.0,0,20,10265.0,0.01500224080772995,0.0,1,1,1,2,20,20,20,20,20,20,20
MQTT,b'Device - 119',2,0,1,11.0,1,21,10265.0,0.0033338312906066557,0.0,21,21,21,21,21,21,21,21,21,21,21
MQTT,b'Device - 12',48,0,1,1.2708333333333333,0,22,10264.0,0.08001195097455974,0.0,1,1,1,1,1,2,22,22,22,22,22
MQTT,b'Device - 120',4,0,1,6.0,0,22,10265.0,0.006667662581213311,0.0,1,1,22,22,22,22,22,22,22,22,22
MQTT,b'Device - 121',56,0,1,1.1964285714285714,0,27,10265.0,0.09334727613698636,0.0,1,1,1,1,1,1,2,27,27,27,27
MQTT,b'Device - 122',7,0,1,4.428571428571429,0,28,10265.0,0.011668409517123295,0.0,1,1,1,1,28,28,28,28,28,28,28
MQTT,b'Device - 123',2,0,1,20.0,1,39,10265.0,0.0033338312906066557,0.0,39,39,39,39,39,39,39,39,39,39,39
MQTT,b'Device - 124',4,0,1,11.5,1,42,10265.0,0.006667662581213311,0.0,2,2,42,42,42,42,42,42,42,42,42
MQTT,b'Device - 125',61,0,1,1.5081967213114753,0,41,10265.0,0.101681854363503,0.0,1,1,1,1,1,2,3,41,41,41,41
MQTT,b'Device - 126',1,0,41,41.0,41,41,10265.0,0.0016669156453033279,0.0,41,41,41,41,41,41,41,41,41,41,41
MQTT,b'Device - 127',62,0,1,1.4838709677419355,0,40,10265.0,0.10334877000880632,0.0,1,1,1,1,1,2,4,40,40,40,40
MQTT,b'Device - 128',3,0,0,13.333333333333334,0,40,10265.0,0.0050007469359099836,0.0,0,0,40,40,40,40,40,40,40,40,40
MQTT,b'Device - 129',46,0,1,1.826086956521739,0,40,10265.0,0.07667811968395308,0.0,1,1,1,1,1,2,40,40,40,40,40
MQTT,b'Device - 13',1,0,22,22.0,22,22,10264.0,0.0016669156453033279,0.0,22,22,22,22,22,22,22,22,22,22,22
MQTT,b'Device - 130',36,0,1,1.5833333333333333,0,27,10265.0,0.0600089632309198,0.0,1,1,1,1,1,3,27,27,27,27,27
MQTT,b'Device - 131',1,0,39,39.0,39,39,10265.0,0.0016669156453033279,0.0,39,39,39,39,39,39,39,39,39,39,39
MQTT,b'Device - 132',2,0,1,13.5,1,26,10265.0,0.0033338312906066557,0.0,26,26,26,26,26,26,26,26,26,26,26
MQTT,b'Device - 133',1,0,38,38.0,38,38,10265.0,0.0016669156453033279,0.0,38,38,38,38,38,38,38,38,38,38,38
MQTT,b'Device - 134',7,0,1,6.0,0,37,10265.0,0.011668409517123295,0.0,1,1,1,1,37,37,37,37,37,37,37
MQTT,b'Device - 135',26,0,1,2.423076923076923,0,41,10265.0,0.04333980677788652,0.0,1,1,1,1,1,3,41,41,41,41,41
MQTT,b'Device - 136',34,0,1,1.7941176470588236,0,41,10265.0,0.05667513194031314,0.0,1,1,1,1,1,1,41,41,41,41,41
MQTT,b'Device - 137',47,0,1,1.7872340425531914,0,40,10265.0,0.07834503532925641,0.0,1,1,1,1,1,2,40,40,40,40,40
MQTT,b'Device - 138',4,0,1,13.0,0,39,10265.0,0.006667662581213311,0.0,12,12,39,39,39,39,39,39,39,39,39
MQTT,b'Device - 139',12,0,1,4.5,0,45,10265.0,0.020002987743639934,0.0,1,1,1,1,2,45,45,45,45,45,45
MQTT,b'Device - 14',22,0,1,2.1363636363636362,0,28,10264.0,0.03667214419667321,0.0,1,1,1,1,1,2,28,28,28,28,28
MQTT,b'Device - 140',4,0,1,12.0,0,46,10265.0,0.006667662581213311,0.0,1,1,46,46,46,46,46,46,46,46,46
MQTT,b'Device - 141',23,0,1,2.5652173913043477,0,46,10265.0,0.03833905984197654,0.0,1,1,1,1,1,1,46,46,46,46,46
MQTT,b'Device - 142',33,0,1,2.121212121212121,0,42,10265.0,0.05500821629500982,0.0,1,1,1,1,2,2,42,42,42,42,42
MQTT,b'Device - 143',4,0,1,11.5,1,42,10265.0,0.006667662581213311,0.0,2,2,42,42,42,42,42,42,42,42,42
MQTT,b'Device - 144',17,0,1,3.588235294117647,0,47,10265.0,0.02833756597015657,0.0,1,1,1,1,2,47,47,47,47,47,47
MQTT,b'Device - 145',2,0,1,26.0,1,51,10265.0,0.0033338312906066557,0.0,51,51,51,51,51,51,51,51,51,51,51
MQTT,b'Device - 146',2,0,0,23.5,0,47,10265.0,0.0033338312906066557,0.0,47,47,47,47,47,47,47,47,47,47,47
MQTT,b'Device - 147',2,0,1,24.0,1,47,10265.0,0.0033338312906066557,0.0,47,47,47,47,47,47,47,47,47,47,47
MQTT,b'Device - 148',1,0,48,48.0,48,48,10265.0,0.0016669156453033279,0.0,48,48,48,48,48,48,48,48,48,48,48
MQTT,b'Device - 149',18,0,1,3.4444444444444446,0,48,10265.0,0.0300044816154599,0.0,1,1,1,1,2,48,48,48,48,48,48
MQTT,b'Device - 15',1,0,29,29.0,29,29,10264.0,0.0016669156453033279,0.0,29,29,29,29,29,29,29,29,29,29,29
MQTT,b'Device - 150',14,0,1,4.285714285714286,0,47,10265.0,0.02333681903424659,0.0,1,1,1,2,2,47,47,47,47,47,47
MQTT,b'Device - 151',13,0,1,5.230769230769231,1,55,10265.0,0.02166990338894326,0.0,1,1,1,1,2,55,55,55,55,55,55
MQTT,b'Device - 152',2,0,1,6.0,1,11,10265.0,0.0033338312906066557,0.0,11,11,11,11,11,11,11,11,11,11,11
MQTT,b'Device - 153',1,0,55,55.0,55,55,10265.0,0.0016669156453033279,0.0,55,55,55,55,55,55,55,55,55,55,55
MQTT,b'Device - 154',26,0,1,2.8076923076923075,0,54,10265.0,0.04333980677788652,0.0,1,1,1,1,1,1,54,54,54,54,54
MQTT,b'Device - 155',2,0,0,27.0,0,54,10265.0,0.0033338312906066557,0.0,54,54,54,54,54,54,54,54,54,54,54
MQTT,b'Device - 156',3,0,2,17.333333333333332,1,49,10265.0,0.0050007469359099836,0.0,2,2,49,49,49,49,49,49,49,49,49
MQTT,b'Device - 157',11,0,1,4.181818181818182,0,38,10265.0,0.018336072098336605,0.0,1,1,1,1,2,38,38,38,38,38,38
MQTT,b'Device - 158',58,0,1,1.4482758620689655,0,39,10265.0,0.09668110742759302,0.0,1,1,1,1,1,2,2,39,39,39,39
MQTT,b'Device - 159',2,0,1,20.5,1,40,10265.0,0.0033338312906066557,0.0,40,40,40,40,40,40,40,40,40,40,40
MQTT,b'Device - 16',60,0,1,1.1333333333333333,0,29,10264.0,0.10001493871819966,0.0,1,1,1,1,1,1,2,29,29,29,29
MQTT,b'Device - 160',9,0,1,5.666666666666667,0,40,10265.0,0.01500224080772995,0.0,1,1,1,8,40,40,40,40,40,40,40
MQTT,b'Device - 161',2,0,1,19.5,1,38,10265.0,0.0033338312906066557,0.0,38,38,38,38,38,38,38,38,38,38,38
MQTT,b'Device - 162',4,0,1,9.0,0,33,10265.0,0.006667662581213311,0.0,2,2,33,33,33,33,33,33,33,33,33
MQTT,b'Device - 163',1,0,37,37.0,37,37,10265.0,0.0016669156453033279,0.0,37,37,37,37,37,37,37,37,37,37,37
MQTT,b'Device - 164',55,0,1,1.4545454545454546,0,34,10265.0,0.09168036049168303,0.0,1,1,1,1,1,2,4,34,34,34,34
MQTT,b'Device - 165',59,0,1,1.4067796610169492,0,34,10265.0,0.09834802307289633,0.0,1,1,1,1,1,2,2,34,34,34,34
MQTT,b'Device - 166',1,0,37,37.0,37,37,10265.0,0.0016669156453033279,0.0,37,37,37,37,37,37,37,37,37,37,37
MQTT,b'Device - 167',1,0,31,31.0,31,31,10265.0,0.0016669156453033279,0.0,31,31,31,31,31,31,31,31,31,31,31
MQTT,b'Device - 168',58,0,1,1.7758620689655173,0,31,10265.0,0.09668110742759302,0.0,1,1,1,1,2,4,24,31,31,31,31
MQTT,b'Device - 169',1,0,30,30.0,30,30,10265.0,0.0016669156453033279,0.0,30,30,30,30,30,30,30,30,30,30,30
MQTT,b'Device - 17',1,0,30,30.0,30,30,10264.0,0.0016669156453033279,0.0,30,30,30,30,30,30,30,30,30,30,30
MQTT,b'Device - 170',3,0,1,11.666666666666666,1,33,10265.0,0.0050007469359099836,0.0,1,1,33,33,33,33,33,33,33,33,33
MQTT,b'Device - 171',60,0,1,1.3166666666666667,0,32,10265.0,0.10001493871819966,0.0,1,1,1,1,1,1,3,32,32,32,32
MQTT,b'Device - 172',6,0,1,5.833333333333333,0,32,10265.0,0.010001493871819967,0.0,1,1,1,1,32,32,32,32,32,32,32
MQTT,b'Device - 173',1,0,32,32.0,32,32,10265.0,0.0016669156453033279,0.0,32,32,32,32,32,32,32,32,32,32,32
MQTT,b'Device - 174',54,0,1,1.3518518518518519,0,27,10265.0,0.0900134448463797,0.0,1,1,1,1,1,3,4,27,27,27,27
MQTT,b'Device - 175',24,0,1,2.125,0,28,10265.0,0.04000597548727987,0.0,1,1,1,1,2,2,28,28,28,28,28
