Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
MQTT,b'Device - 1',6,0,180,245.5,103,619,1047.0,0.010005197117235342,0.0,200,200,260,260,620,620,620,620,620,620,620
MQTT,b'Device - 10',7,0,180,332.0,78,1425,1048.0,0.011672729970107898,0.0,180,200,220,220,1400,1400,1400,1400,1400,1400,1400
MQTT,b'Device - 100',5,0,100,129.0,88,232,1049.0,0.008337664264362785,0.0,100,120,120,230,230,230,230,230,230,230,230
MQTT,b'Device - 1000',5,0,120,326.6,100,1173,1050.0,0.008337664264362785,0.0,120,130,130,1200,1200,1200,1200,1200,1200,1200,1200
MQTT,b'Device - 101',16,0,100,267.125,80,1399,1049.0,0.026680525645960913,0.0,100,110,230,230,1200,1400,1400,1400,1400,1400,1400
MQTT,b'Device - 102',5,0,160,156.2,81,231,1049.0,0.008337664264362785,0.0,160,220,220,230,230,230,230,230,230,230,230
MQTT,b'Device - 103',16,0,110,207.0625,85,1179,1049.0,0.026680525645960913,0.0,110,160,240,240,260,1200,1200,1200,1200,1200,1200
MQTT,b'Device - 104',5,0,240,207.4,93,251,1049.0,0.008337664264362785,0.0,240,250,250,250,250,250,250,250,250,250,250
MQTT,b'Device - 105',6,0,180,184.16666666666666,97,248,1049.0,0.010005197117235342,0.0,230,230,230,230,250,250,250,250,250,250,250
MQTT,b'Device - 106',7,0,110,161.14285714285714,91,265,1049.0,0.011672729970107898,0.0,110,230,240,240,260,260,260,260,260,260,260
MQTT,b'Device - 107',14,0,110,396.85714285714283,81,3211,1049.0,0.023345459940215797,0.0,150,200,240,270,670,3200,3200,3200,3200,3200,3200
MQTT,b'Device - 108',25,0,97,122.28,81,259,1049.0,0.04168832132181392,0.0,97,100,110,170,240,250,260,260,260,260,260
MQTT,b'Device - 109',17,0,100,185.11764705882354,79,1208,1049.0,0.02834805849883347,0.0,100,120,130,200,240,1200,1200,1200,1200,1200,1200
MQTT,b'Device - 11',17,0,100,128.11764705882354,78,440,1048.0,0.02834805849883347,0.0,100,110,110,110,200,440,440,440,440,440,440
MQTT,b'Device - 110',52,0,94,129.19230769230768,77,834,1049.0,0.08671170834937296,0.0,94,99,110,110,180,260,610,830,830,830,830
MQTT,b'Device - 111',14,0,100,121.35714285714286,79,205,1049.0,0.023345459940215797,0.0,110,120,120,190,190,200,200,200,200,200,200
MQTT,b'Device - 112',4,0,110,155.25,87,240,1049.0,0.006670131411490228,0.0,180,180,240,240,240,240,240,240,240,240,240
MQTT,b'Device - 113',8,0,100,138.125,81,214,1049.0,0.013340262822980457,0.0,120,170,210,210,210,210,210,210,210,210,210
MQTT,b'Device - 114',14,0,100,726.4285714285714,81,8428,1049.0,0.023345459940215797,0.0,100,110,160,220,400,8400,8400,8400,8400,8400,8400
MQTT,b'Device - 115',8,0,140,178.875,85,263,1049.0,0.013340262822980457,0.0,240,240,250,250,260,260,260,260,260,260,260
MQTT,b'Device - 116',8,0,120,165.25,94,267,1049.0,0.013340262822980457,0.0,150,230,250,250,270,270,270,270,270,270,270
MQTT,b'Device - 117',15,0,95,131.6,75,325,1049.0,0.025012992793088353,0.0,95,100,190,200,220,320,320,320,320,320,320
MQTT,b'Device - 118',15,0,97,128.8,80,403,1049.0,0.025012992793088353,0.0,97,120,130,140,190,400,400,400,400,400,400
MQTT,b'Device - 119',6,0,110,150.33333333333334,87,242,1049.0,0.010005197117235342,0.0,150,150,210,210,240,240,240,240,240,240,240
MQTT,b'Device - 12',14,0,92,121.0,82,260,1048.0,0.023345459940215797,0.0,92,99,140,170,230,260,260,260,260,260,260
MQTT,b'Device - 120',7,0,130,170.14285714285714,86,280,1049.0,0.011672729970107898,0.0,130,230,240,240,280,280,280,280,280,280,280
MQTT,b'Device - 121',7,0,120,389.7142857142857,90,1880,1049.0,0.011672729970107898,0.0,120,210,230,230,1900,1900,1900,1900,1900,1900,1900
MQTT,b'Device - 122',15,0,95,120.4,77,239,1049.0,0.025012992793088353,0.0,95,100,120,220,230,240,240,240,240,240,240
MQTT,b'Device - 123',12,0,110,215.5,78,1174,1049.0,0.020010394234470683,0.0,120,160,210,210,230,1200,1200,1200,1200,1200,1200
MQTT,b'Device - 124',19,0,99,364.05263157894734,80,3234,1049.0,0.03168312420457858,0.0,99,120,210,220,1200,3200,3200,3200,3200,3200,3200
