Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
MQTT,b'Device - 1',7,0,59,111.71428571428571,46,260,10263.0,0.011669928575022318,0.0,59,64,240,240,260,260,260,260,260,260,260
MQTT,b'Device - 10',6,0,53,88.5,45,247,10264.0,0.0100027959214477,0.0,56,56,79,79,250,250,250,250,250,250,250
MQTT,b'Device - 100',1,0,247,247.0,247,247,10265.0,0.0016671326535746167,0.0,250,250,250,250,250,250,250,250,250,250,250
MQTT,b'Device - 101',10,0,53,75.6,43,272,10265.0,0.016671326535746166,0.0,54,58,59,69,270,270,270,270,270,270,270
MQTT,b'Device - 102',1,0,256,256.0,256,256,10265.0,0.0016671326535746167,0.0,260,260,260,260,260,260,260,260,260,260,260
MQTT,b'Device - 103',1,0,272,272.0,272,272,10265.0,0.0016671326535746167,0.0,270,270,270,270,270,270,270,270,270,270,270
MQTT,b'Device - 104',1,0,267,267.0,267,267,10265.0,0.0016671326535746167,0.0,270,270,270,270,270,270,270,270,270,270,270
MQTT,b'Device - 105',10,0,54,225.3,46,1179,10265.0,0.016671326535746166,0.0,56,220,270,280,1200,1200,1200,1200,1200,1200,1200
MQTT,b'Device - 106',8,0,50,83.625,45,272,10265.0,0.013337061228596934,0.0,59,60,90,90,270,270,270,270,270,270,270
MQTT,b'Device - 107',1,0,271,271.0,271,271,10265.0,0.0016671326535746167,0.0,270,270,270,270,270,270,270,270,270,270,270
MQTT,b'Device - 108',1,0,223,223.0,223,223,10265.0,0.0016671326535746167,0.0,220,220,220,220,220,220,220,220,220,220,220
MQTT,b'Device - 109',1,0,222,222.0,222,222,10265.0,0.0016671326535746167,0.0,220,220,220,220,220,220,220,220,220,220,220
MQTT,b'Device - 11',1,0,245,245.0,245,245,10264.0,0.0016671326535746167,0.0,240,240,240,240,240,240,240,240,240,240,240
MQTT,b'Device - 110',9,0,55,909.4444444444445,45,7314,10265.0,0.01500419388217155,0.0,55,57,280,290,7300,7300,7300,7300,7300,7300,7300
MQTT,b'Device - 111',1,0,272,272.0,272,272,10265.0,0.0016671326535746167,0.0,270,270,270,270,270,270,270,270,270,270,270
MQTT,b'Device - 112',1,0,272,272.0,272,272,10265.0,0.0016671326535746167,0.0,270,270,270,270,270,270,270,270,270,270,270
MQTT,b'Device - 113',51,0,52,233.45098039215685,44,7205,10265.0,0.08502376533230545,0.0,52,55,61,65,130,660,1100,7200,7200,7200,7200
MQTT,b'Device - 114',3,0,1100,959.0,47,1688,10265.0,0.00500139796072385,0.0,1100,1100,1700,1700,1700,1700,1700,1700,1700,1700,1700
MQTT,b'Device - 115',19,0,54,65.57894736842105,44,257,10265.0,0.03167552041791772,0.0,54,58,59,62,85,260,260,260,260,260,260
MQTT,b'Device - 116',1,0,1659,1659.0,1659,1659,10265.0,0.0016671326535746167,0.0,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700
MQTT,b'Device - 117',7,0,57,3559.8571428571427,52,17168,10265.0,0.011669928575022318,0.0,57,270,7300,7300,17000,17000,17000,17000,17000,17000,17000
MQTT,b'Device - 118',1,0,267,267.0,267,267,10265.0,0.0016671326535746167,0.0,270,270,270,270,270,270,270,270,270,270,270
MQTT,b'Device - 119',2,0,64,843.0,64,1622,10265.0,0.0033342653071492334,0.0,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
MQTT,b'Device - 12',2,0,50,365.0,50,680,10264.0,0.0033342653071492334,0.0,680,680,680,680,680,680,680,680,680,680,680
MQTT,b'Device - 120',1,0,715,715.0,715,715,10265.0,0.0016671326535746167,0.0,720,720,720,720,720,720,720,720,720,720,720
MQTT,b'Device - 121',6,0,49,23049.833333333332,44,137428,10265.0,0.0100027959214477,0.0,50,50,680,680,137000,137000,137000,137000,137000,137000,137000
MQTT,b'Device - 122',3,0,230,187.0,59,272,10265.0,0.00500139796072385,0.0,230,230,270,270,270,270,270,270,270,270,270
MQTT,b'Device - 123',1,0,1878,1878.0,1878,1878,10265.0,0.0016671326535746167,0.0,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
MQTT,b'Device - 124',8,0,52,352.75,47,1146,10265.0,0.013337061228596934,0.0,71,260,1100,1100,1100,1100,1100,1100,1100,1100,1100
MQTT,b'Device - 125',51,0,50,117.3529411764706,43,3185,10265.0,0.08502376533230545,0.0,50,53,56,56,60,120,250,3200,3200,3200,3200
MQTT,b'Device - 126',10,0,49,220.5,44,1506,10265.0,0.016671326535746166,0.0,52,55,100,260,1500,1500,1500,1500,1500,1500,1500
MQTT,b'Device - 127',1,0,283,283.0,283,283,10265.0,0.0016671326535746167,0.0,280,280,280,280,280,280,280,280,280,280,280
MQTT,b'Device - 128',1,0,597,597.0,597,597,10265.0,0.0016671326535746167,0.0,600,600,600,600,600,600,600,600,600,600,600
MQTT,b'Device - 129',1,0,2666,2666.0,2666,2666,10265.0,0.0016671326535746167,0.0,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
MQTT,b'Device - 13',1,0,1448,1448.0,1448,1448,10264.0,0.0016671326535746167,0.0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
MQTT,b'Device - 130',10,0,58,127.5,41,332,10265.0,0.016671326535746166,0.0,60,63,260,310,330,330,330,330,330,330,330
MQTT,b'Device - 131',3,0,53,121.0,50,260,10265.0,0.00500139796072385,0.0,53,53,260,260,260,260,260,260,260,260,260
MQTT,b'Device - 132',9,0,52,101.66666666666667,44,304,10265.0,0.01500419388217155,0.0,52,53,53,260,300,300,300,300,300,300,300
MQTT,b'Device - 133',2,0,46,870.5,46,1695,10265.0,0.0033342653071492334,0.0,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700
