Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
MQTT,Device-1-brokerA-brokerA,4,0,0,0.25,0,1,1053.0,0.11415655774609669,0.0,0,0,1,1,1,1,1,1,1,1,1
MQTT,Device-10-brokerJ-brokerJ,4,0,0,1.25,0,5,1054.0,0.11415655774609669,0.0,0,0,5,5,5,5,5,5,5,5,5
MQTT,Device-100-brokerJ-brokerJ,3,0,1,1.0,0,2,1055.0,0.08561741830957251,0.0,1,1,2,2,2,2,2,2,2,2,2
MQTT,Device-101-brokerA-brokerA,2,0,0,2.5,0,5,1055.0,0.057078278873048345,0.0,5,5,5,5,5,5,5,5,5,5,5
MQTT,Device-102-brokerB-brokerB,2,0,0,3.0,0,6,1055.0,0.057078278873048345,0.0,6,6,6,6,6,6,6,6,6,6,6
MQTT,Device-103-brokerC-brokerC,3,0,0,2.0,0,6,1055.0,0.08561741830957251,0.0,0,0,6,6,6,6,6,6,6,6,6
MQTT,Device-104-brokerD-brokerD,4,0,0,1.25,0,5,1055.0,0.11415655774609669,0.0,0,0,5,5,5,5,5,5,5,5,5
MQTT,Device-105-brokerE-brokerE,3,0,1,0.6666666666666666,0,1,1055.0,0.08561741830957251,0.0,1,1,1,1,1,1,1,1,1,1,1
MQTT,Device-106-brokerF-brokerF,3,0,2,2.3333333333333335,0,5,1055.0,0.08561741830957251,0.0,2,2,5,5,5,5,5,5,5,5,5
MQTT,Device-107-brokerG-brokerG,3,0,0,1.6666666666666667,0,5,1055.0,0.08561741830957251,0.0,0,0,5,5,5,5,5,5,5,5,5
MQTT,Device-108-brokerH-brokerH,3,0,0,1.6666666666666667,0,5,1055.0,0.08561741830957251,0.0,0,0,5,5,5,5,5,5,5,5,5
MQTT,Device-109-brokerI-brokerI,4,0,0,1.5,0,5,1055.0,0.11415655774609669,0.0,1,1,5,5,5,5,5,5,5,5,5
MQTT,Device-11-brokerA-brokerA,3,0,0,1.0,0,3,1054.0,0.08561741830957251,0.0,0,0,3,3,3,3,3,3,3,3,3
MQTT,Device-110-brokerJ-brokerJ,3,0,0,1.6666666666666667,0,5,1055.0,0.08561741830957251,0.0,0,0,5,5,5,5,5,5,5,5,5
MQTT,Device-111-brokerA-brokerA,3,0,0,0.6666666666666666,0,2,1055.0,0.08561741830957251,0.0,0,0,2,2,2,2,2,2,2,2,2
MQTT,Device-112-brokerB-brokerB,3,0,0,13.666666666666666,0,41,1055.0,0.08561741830957251,0.0,0,0,41,41,41,41,41,41,41,41,41
MQTT,Device-113-brokerC-brokerC,3,0,0,13.666666666666666,0,41,1055.0,0.08561741830957251,0.0,0,0,41,41,41,41,41,41,41,41,41
MQTT,Device-114-brokerD-brokerD,3,0,0,13.666666666666666,0,41,1055.0,0.08561741830957251,0.0,0,0,41,41,41,41,41,41,41,41,41
MQTT,Device-115-brokerE-brokerE,3,0,0,13.666666666666666,0,41,1055.0,0.08561741830957251,0.0,0,0,41,41,41,41,41,41,41,41,41
MQTT,Device-116-brokerF-brokerF,3,0,0,13.666666666666666,0,41,1055.0,0.08561741830957251,0.0,0,0,41,41,41,41,41,41,41,41,41
MQTT,Device-117-brokerG-brokerG,3,0,0,13.666666666666666,0,41,1055.0,0.08561741830957251,0.0,0,0,41,41,41,41,41,41,41,41,41
MQTT,Device-118-brokerH-brokerH,4,0,0,0.5,0,2,1055.0,0.11415655774609669,0.0,0,0,2,2,2,2,2,2,2,2,2
MQTT,Device-119-brokerI-brokerI,3,0,0,0.6666666666666666,0,2,1055.0,0.08561741830957251,0.0,0,0,2,2,2,2,2,2,2,2,2
MQTT,Device-12-brokerB-brokerB,3,0,0,1.0,0,3,1054.0,0.08561741830957251,0.0,0,0,3,3,3,3,3,3,3,3,3
MQTT,Device-120-brokerJ-brokerJ,3,0,0,0.6666666666666666,0,2,1055.0,0.08561741830957251,0.0,0,0,2,2,2,2,2,2,2,2,2
MQTT,Device-121-brokerA-brokerA,3,0,1,1.0,0,2,1055.0,0.08561741830957251,0.0,1,1,2,2,2,2,2,2,2,2,2
MQTT,Device-122-brokerB-brokerB,3,0,1,2.3333333333333335,0,6,1055.0,0.08561741830957251,0.0,1,1,6,6,6,6,6,6,6,6,6
MQTT,Device-123-brokerC-brokerC,3,0,0,3.6666666666666665,0,11,1055.0,0.08561741830957251,0.0,0,0,11,11,11,11,11,11,11,11,11
MQTT,Device-124-brokerD-brokerD,3,0,0,3.3333333333333335,0,10,1055.0,0.08561741830957251,0.0,0,0,10,10,10,10,10,10,10,10,10
MQTT,Device-125-brokerE-brokerE,2,0,0,2.5,0,5,1055.0,0.057078278873048345,0.0,5,5,5,5,5,5,5,5,5,5,5
MQTT,Device-126-brokerF-brokerF,3,0,0,1.6666666666666667,0,5,1055.0,0.08561741830957251,0.0,0,0,5,5,5,5,5,5,5,5,5
MQTT,Device-127-brokerG-brokerG,3,0,0,1.6666666666666667,0,5,1055.0,0.08561741830957251,0.0,0,0,5,5,5,5,5,5,5,5,5
MQTT,Device-128-brokerH-brokerH,2,0,0,1.5,0,3,1055.0,0.057078278873048345,0.0,3,3,3,3,3,3,3,3,3,3,3
MQTT,Device-129-brokerI-brokerI,3,0,1,1.0,0,2,1055.0,0.08561741830957251,0.0,1,1,2,2,2,2,2,2,2,2,2
MQTT,Device-13-brokerC-brokerC,5,0,0,0.6,0,3,1054.0,0.14269569718262085,0.0,0,0,0,3,3,3,3,3,3,3,3
MQTT,Device-130-brokerJ-brokerJ,2,0,0,1.0,0,2,1055.0,0.057078278873048345,0.0,2,2,2,2,2,2,2,2,2,2,2
MQTT,Device-131-brokerA-brokerA,3,0,0,1.3333333333333333,0,4,1055.0,0.08561741830957251,0.0,0,0,4,4,4,4,4,4,4,4,4
MQTT,Device-132-brokerB-brokerB,3,0,0,1.3333333333333333,0,4,1055.0,0.08561741830957251,0.0,0,0,4,4,4,4,4,4,4,4,4
MQTT,Device-133-brokerC-brokerC,2,0,0,1.5,0,3,1055.0,0.057078278873048345,0.0,3,3,3,3,3,3,3,3,3,3,3
MQTT,Device-134-brokerD-brokerD,2,0,0,1.5,0,3,1055.0,0.057078278873048345,0.0,3,3,3,3,3,3,3,3,3,3,3
MQTT,Device-135-brokerE-brokerE,3,0,0,1.0,0,3,1055.0,0.08561741830957251,0.0,0,0,3,3,3,3,3,3,3,3,3
MQTT,Device-136-brokerF-brokerF,3,0,0,1.0,0,3,1055.0,0.08561741830957251,0.0,0,0,3,3,3,3,3,3,3,3,3
MQTT,Device-137-brokerG-brokerG,2,0,1,1.0,1,1,1055.0,0.057078278873048345,0.0,1,1,1,1,1,1,1,1,1,1,1
MQTT,Device-138-brokerH-brokerH,3,0,0,1.0,0,3,1055.0,0.08561741830957251,0.0,0,0,3,3,3,3,3,3,3,3,3
