Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
MQTT,Device-1-brokerA-brokerA,1,0,43,43.0,43,43,10269.0,0.14666484741772134,0.0,43,43,43,43,43,43,43,43,43,43,43
MQTT,Device-10-brokerJ-brokerJ,1,0,59,59.0,59,59,10270.0,0.14666484741772134,0.0,59,59,59,59,59,59,59,59,59,59,59
MQTT,Device-100-brokerJ-brokerJ,2,0,0,2.5,0,5,10271.0,0.2933296948354427,0.0,5,5,5,5,5,5,5,5,5,5,5
MQTT,Device-101-brokerA-brokerA,1,0,12,12.0,12,12,10271.0,0.14666484741772134,0.0,12,12,12,12,12,12,12,12,12,12,12
MQTT,Device-102-brokerB-brokerB,1,0,9,9.0,9,9,10271.0,0.14666484741772134,0.0,9,9,9,9,9,9,9,9,9,9,9
MQTT,Device-103-brokerC-brokerC,1,0,22,22.0,22,22,10271.0,0.14666484741772134,0.0,22,22,22,22,22,22,22,22,22,22,22
MQTT,Device-104-brokerD-brokerD,1,0,9,9.0,9,9,10271.0,0.14666484741772134,0.0,9,9,9,9,9,9,9,9,9,9,9
MQTT,Device-105-brokerE-brokerE,1,0,21,21.0,21,21,10271.0,0.14666484741772134,0.0,21,21,21,21,21,21,21,21,21,21,21
MQTT,Device-106-brokerF-brokerF,1,0,19,19.0,19,19,10271.0,0.14666484741772134,0.0,19,19,19,19,19,19,19,19,19,19,19
MQTT,Device-107-brokerG-brokerG,1,0,19,19.0,19,19,10271.0,0.14666484741772134,0.0,19,19,19,19,19,19,19,19,19,19,19
MQTT,Device-108-brokerH-brokerH,1,0,18,18.0,18,18,10271.0,0.14666484741772134,0.0,18,18,18,18,18,18,18,18,18,18,18
MQTT,Device-109-brokerI-brokerI,1,0,18,18.0,18,18,10271.0,0.14666484741772134,0.0,18,18,18,18,18,18,18,18,18,18,18
MQTT,Device-11-brokerA-brokerA,1,0,56,56.0,56,56,10270.0,0.14666484741772134,0.0,56,56,56,56,56,56,56,56,56,56,56
MQTT,Device-110-brokerJ-brokerJ,1,0,17,17.0,17,17,10271.0,0.14666484741772134,0.0,17,17,17,17,17,17,17,17,17,17,17
MQTT,Device-111-brokerA-brokerA,1,0,17,17.0,17,17,10271.0,0.14666484741772134,0.0,17,17,17,17,17,17,17,17,17,17,17
MQTT,Device-112-brokerB-brokerB,1,0,9,9.0,9,9,10271.0,0.14666484741772134,0.0,9,9,9,9,9,9,9,9,9,9,9
MQTT,Device-113-brokerC-brokerC,1,0,10,10.0,10,10,10271.0,0.14666484741772134,0.0,10,10,10,10,10,10,10,10,10,10,10
MQTT,Device-114-brokerD-brokerD,1,0,10,10.0,10,10,10271.0,0.14666484741772134,0.0,10,10,10,10,10,10,10,10,10,10,10
MQTT,Device-115-brokerE-brokerE,1,0,11,11.0,11,11,10271.0,0.14666484741772134,0.0,11,11,11,11,11,11,11,11,11,11,11
MQTT,Device-116-brokerF-brokerF,1,0,11,11.0,11,11,10271.0,0.14666484741772134,0.0,11,11,11,11,11,11,11,11,11,11,11
MQTT,Device-117-brokerG-brokerG,1,0,12,12.0,12,12,10271.0,0.14666484741772134,0.0,12,12,12,12,12,12,12,12,12,12,12
MQTT,Device-118-brokerH-brokerH,1,0,28,28.0,28,28,10271.0,0.14666484741772134,0.0,28,28,28,28,28,28,28,28,28,28,28
MQTT,Device-119-brokerI-brokerI,1,0,18,18.0,18,18,10271.0,0.14666484741772134,0.0,18,18,18,18,18,18,18,18,18,18,18
MQTT,Device-12-brokerB-brokerB,1,0,41,41.0,41,41,10270.0,0.14666484741772134,0.0,41,41,41,41,41,41,41,41,41,41,41
MQTT,Device-120-brokerJ-brokerJ,1,0,29,29.0,29,29,10271.0,0.14666484741772134,0.0,29,29,29,29,29,29,29,29,29,29,29
MQTT,Device-121-brokerA-brokerA,1,0,20,20.0,20,20,10271.0,0.14666484741772134,0.0,20,20,20,20,20,20,20,20,20,20,20
MQTT,Device-122-brokerB-brokerB,1,0,9,9.0,9,9,10271.0,0.14666484741772134,0.0,9,9,9,9,9,9,9,9,9,9,9
MQTT,Device-123-brokerC-brokerC,1,0,52,52.0,52,52,10271.0,0.14666484741772134,0.0,52,52,52,52,52,52,52,52,52,52,52
MQTT,Device-124-brokerD-brokerD,1,0,52,52.0,52,52,10271.0,0.14666484741772134,0.0,52,52,52,52,52,52,52,52,52,52,52
MQTT,Device-125-brokerE-brokerE,1,0,52,52.0,52,52,10271.0,0.14666484741772134,0.0,52,52,52,52,52,52,52,52,52,52,52
MQTT,Device-126-brokerF-brokerF,1,0,21,21.0,21,21,10271.0,0.14666484741772134,0.0,21,21,21,21,21,21,21,21,21,21,21
MQTT,Device-127-brokerG-brokerG,1,0,31,31.0,31,31,10271.0,0.14666484741772134,0.0,31,31,31,31,31,31,31,31,31,31,31
MQTT,Device-128-brokerH-brokerH,1,0,20,20.0,20,20,10271.0,0.14666484741772134,0.0,20,20,20,20,20,20,20,20,20,20,20
MQTT,Device-129-brokerI-brokerI,1,0,20,20.0,20,20,10271.0,0.14666484741772134,0.0,20,20,20,20,20,20,20,20,20,20,20
MQTT,Device-13-brokerC-brokerC,1,0,71,71.0,71,71,10270.0,0.14666484741772134,0.0,71,71,71,71,71,71,71,71,71,71,71
MQTT,Device-130-brokerJ-brokerJ,1,0,40,40.0,40,40,10271.0,0.14666484741772134,0.0,40,40,40,40,40,40,40,40,40,40,40
MQTT,Device-131-brokerA-brokerA,1,0,39,39.0,39,39,10271.0,0.14666484741772134,0.0,39,39,39,39,39,39,39,39,39,39,39
MQTT,Device-132-brokerB-brokerB,1,0,39,39.0,39,39,10271.0,0.14666484741772134,0.0,39,39,39,39,39,39,39,39,39,39,39
MQTT,Device-133-brokerC-brokerC,1,0,19,19.0,19,19,10271.0,0.14666484741772134,0.0,19,19,19,19,19,19,19,19,19,19,19
MQTT,Device-134-brokerD-brokerD,1,0,23,23.0,23,23,10271.0,0.14666484741772134,0.0,23,23,23,23,23,23,23,23,23,23,23
MQTT,Device-135-brokerE-brokerE,1,0,32,32.0,32,32,10271.0,0.14666484741772134,0.0,32,32,32,32,32,32,32,32,32,32,32
MQTT,Device-136-brokerF-brokerF,1,0,34,34.0,34,34,10271.0,0.14666484741772134,0.0,34,34,34,34,34,34,34,34,34,34,34
MQTT,Device-137-brokerG-brokerG,1,0,23,23.0,23,23,10271.0,0.14666484741772134,0.0,23,23,23,23,23,23,23,23,23,23,23
MQTT,Device-138-brokerH-brokerH,1,0,17,17.0,17,17,10271.0,0.14666484741772134,0.0,17,17,17,17,17,17,17,17,17,17,17
MQTT,Device-139-brokerI-brokerI,1,0,32,32.0,32,32,10271.0,0.14666484741772134,0.0,32,32,32,32,32,32,32,32,32,32,32
MQTT,Device-14-brokerD-brokerD,1,0,72,72.0,72,72,10270.0,0.14666484741772134,0.0,72,72,72,72,72,72,72,72,72,72,72
MQTT,Device-140-brokerJ-brokerJ,1,0,23,23.0,23,23,10271.0,0.14666484741772134,0.0,23,23,23,23,23,23,23,23,23,23,23
MQTT,Device-141-brokerA-brokerA,1,0,24,24.0,24,24,10271.0,0.14666484741772134,0.0,24,24,24,24,24,24,24,24,24,24,24
MQTT,Device-142-brokerB-brokerB,1,0,11,11.0,11,11,10271.0,0.14666484741772134,0.0,11,11,11,11,11,11,11,11,11,11,11
MQTT,Device-143-brokerC-brokerC,1,0,33,33.0,33,33,10271.0,0.14666484741772134,0.0,33,33,33,33,33,33,33,33,33,33,33
MQTT,Device-144-brokerD-brokerD,1,0,22,22.0,22,22,10271.0,0.14666484741772134,0.0,22,22,22,22,22,22,22,22,22,22,22
MQTT,Device-145-brokerE-brokerE,1,0,46,46.0,46,46,10271.0,0.14666484741772134,0.0,46,46,46,46,46,46,46,46,46,46,46
MQTT,Device-146-brokerF-brokerF,1,0,27,27.0,27,27,10271.0,0.14666484741772134,0.0,27,27,27,27,27,27,27,27,27,27,27
MQTT,Device-147-brokerG-brokerG,1,0,23,23.0,23,23,10271.0,0.14666484741772134,0.0,23,23,23,23,23,23,23,23,23,23,23
MQTT,Device-148-brokerH-brokerH,1,0,27,27.0,27,27,10271.0,0.14666484741772134,0.0,27,27,27,27,27,27,27,27,27,27,27
MQTT,Device-149-brokerI-brokerI,1,0,45,45.0,45,45,10271.0,0.14666484741772134,0.0,45,45,45,45,45,45,45,45,45,45,45
MQTT,Device-15-brokerE-brokerE,1,0,100,100.0,100,100,10270.0,0.14666484741772134,0.0,100,100,100,100,100,100,100,100,100,100,100
MQTT,Device-150-brokerJ-brokerJ,1,0,24,24.0,24,24,10271.0,0.14666484741772134,0.0,24,24,24,24,24,24,24,24,24,24,24
MQTT,Device-151-brokerA-brokerA,1,0,76,76.0,76,76,10271.0,0.14666484741772134,0.0,76,76,76,76,76,76,76,76,76,76,76
MQTT,Device-152-brokerB-brokerB,1,0,76,76.0,76,76,10271.0,0.14666484741772134,0.0,76,76,76,76,76,76,76,76,76,76,76
MQTT,Device-153-brokerC-brokerC,1,0,75,75.0,75,75,10271.0,0.14666484741772134,0.0,75,75,75,75,75,75,75,75,75,75,75
MQTT,Device-154-brokerD-brokerD,1,0,9,9.0,9,9,10271.0,0.14666484741772134,0.0,9,9,9,9,9,9,9,9,9,9,9
MQTT,Device-155-brokerE-brokerE,1,0,50,50.0,50,50,10271.0,0.14666484741772134,0.0,50,50,50,50,50,50,50,50,50,50,50
MQTT,Device-156-brokerF-brokerF,1,0,74,74.0,74,74,10271.0,0.14666484741772134,0.0,74,74,74,74,74,74,74,74,74,74,74
MQTT,Device-157-brokerG-brokerG,1,0,74,74.0,74,74,10271.0,0.14666484741772134,0.0,74,74,74,74,74,74,74,74,74,74,74
MQTT,Device-158-brokerH-brokerH,1,0,49,49.0,49,49,10271.0,0.14666484741772134,0.0,49,49,49,49,49,49,49,49,49,49,49
MQTT,Device-159-brokerI-brokerI,1,0,72,72.0,72,72,10271.0,0.14666484741772134,0.0,72,72,72,72,72,72,72,72,72,72,72
MQTT,Device-16-brokerF-brokerF,1,0,28,28.0,28,28,10270.0,0.14666484741772134,0.0,28,28,28,28,28,28,28,28,28,28,28
MQTT,Device-160-brokerJ-brokerJ,1,0,80,80.0,80,80,10271.0,0.14666484741772134,0.0,80,80,80,80,80,80,80,80,80,80,80
MQTT,Device-161-brokerA-brokerA,1,0,72,72.0,72,72,10271.0,0.14666484741772134,0.0,72,72,72,72,72,72,72,72,72,72,72
MQTT,Device-162-brokerB-brokerB,1,0,44,44.0,44,44,10271.0,0.14666484741772134,0.0,44,44,44,44,44,44,44,44,44,44,44
MQTT,Device-163-brokerC-brokerC,1,0,25,25.0,25,25,10271.0,0.14666484741772134,0.0,25,25,25,25,25,25,25,25,25,25,25
MQTT,Device-164-brokerD-brokerD,1,0,22,22.0,22,22,10271.0,0.14666484741772134,0.0,22,22,22,22,22,22,22,22,22,22,22
MQTT,Device-165-brokerE-brokerE,1,0,43,43.0,43,43,10271.0,0.14666484741772134,0.0,43,43,43,43,43,43,43,43,43,43,43
MQTT,Device-166-brokerF-brokerF,1,0,23,23.0,23,23,10271.0,0.14666484741772134,0.0,23,23,23,23,23,23,23,23,23,23,23
MQTT,Device-167-brokerG-brokerG,1,0,24,24.0,24,24,10271.0,0.14666484741772134,0.0,24,24,24,24,24,24,24,24,24,24,24
MQTT,Device-168-brokerH-brokerH,1,0,44,44.0,44,44,10271.0,0.14666484741772134,0.0,44,44,44,44,44,44,44,44,44,44,44
MQTT,Device-169-brokerI-brokerI,1,0,43,43.0,43,43,10271.0,0.14666484741772134,0.0,43,43,43,43,43,43,43,43,43,43,43
MQTT,Device-17-brokerG-brokerG,1,0,64,64.0,64,64,10270.0,0.14666484741772134,0.0,64,64,64,64,64,64,64,64,64,64,64
MQTT,Device-170-brokerJ-brokerJ,1,0,41,41.0,41,41,10271.0,0.14666484741772134,0.0,41,41,41,41,41,41,41,41,41,41,41
MQTT,Device-171-brokerA-brokerA,1,0,41,41.0,41,41,10271.0,0.14666484741772134,0.0,41,41,41,41,41,41,41,41,41,41,41
MQTT,Device-172-brokerB-brokerB,1,0,21,21.0,21,21,10271.0,0.14666484741772134,0.0,21,21,21,21,21,21,21,21,21,21,21
MQTT,Device-173-brokerC-brokerC,1,0,40,40.0,40,40,10271.0,0.14666484741772134,0.0,40,40,40,40,40,40,40,40,40,40,40
MQTT,Device-174-brokerD-brokerD,1,0,54,54.0,54,54,10271.0,0.14666484741772134,0.0,54,54,54,54,54,54,54,54,54,54,54
MQTT,Device-175-brokerE-brokerE,1,0,53,53.0,53,53,10271.0,0.14666484741772134,0.0,53,53,53,53,53,53,53,53,53,53,53
