Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
MQTT,Device-1-brokerA-brokerA,4,0,1,1.25,0,3,1053.0,0.11856587945198915,0.0,1,1,3,3,3,3,3,3,3,3,3
MQTT,Device-10-brokerB-brokerB,4,0,0,0.25,0,1,1054.0,0.11856587945198915,0.0,0,0,1,1,1,1,1,1,1,1,1
MQTT,Device-100-brokerD-brokerD,3,0,1,0.6666666666666666,0,1,1055.0,0.08892440958899187,0.0,1,1,1,1,1,1,1,1,1,1,1
MQTT,Device-101-brokerE-brokerE,3,0,1,0.6666666666666666,0,1,1055.0,0.08892440958899187,0.0,1,1,1,1,1,1,1,1,1,1,1
MQTT,Device-102-brokerF-brokerF,3,0,1,1.0,1,1,1055.0,0.08892440958899187,0.0,1,1,1,1,1,1,1,1,1,1,1
MQTT,Device-103-brokerG-brokerG,2,0,0,2.5,0,5,1055.0,0.05928293972599458,0.0,5,5,5,5,5,5,5,5,5,5,5
MQTT,Device-104-brokerH-brokerH,3,0,1,0.6666666666666666,0,1,1055.0,0.08892440958899187,0.0,1,1,1,1,1,1,1,1,1,1,1
MQTT,Device-105-brokerA-brokerA,2,0,1,4.5,1,8,1055.0,0.05928293972599458,0.0,8,8,8,8,8,8,8,8,8,8,8
MQTT,Device-106-brokerB-brokerB,3,0,1,1.0,0,2,1055.0,0.08892440958899187,0.0,1,1,2,2,2,2,2,2,2,2,2
MQTT,Device-107-brokerC-brokerC,3,0,1,1.0,1,1,1055.0,0.08892440958899187,0.0,1,1,1,1,1,1,1,1,1,1,1
MQTT,Device-108-brokerD-brokerD,3,0,0,1.6666666666666667,0,5,1055.0,0.08892440958899187,0.0,0,0,5,5,5,5,5,5,5,5,5
MQTT,Device-109-brokerE-brokerE,3,0,0,0.6666666666666666,0,2,1055.0,0.08892440958899187,0.0,0,0,2,2,2,2,2,2,2,2,2
MQTT,Device-11-brokerC-brokerC,3,0,0,1.0,0,3,1054.0,0.08892440958899187,0.0,0,0,3,3,3,3,3,3,3,3,3
MQTT,Device-110-brokerF-brokerF,2,0,0,0.5,0,1,1055.0,0.05928293972599458,0.0,1,1,1,1,1,1,1,1,1,1,1
MQTT,Device-111-brokerG-brokerG,2,0,0,1.0,0,2,1055.0,0.05928293972599458,0.0,2,2,2,2,2,2,2,2,2,2,2
MQTT,Device-112-brokerH-brokerH,3,0,1,1.0,1,1,1055.0,0.08892440958899187,0.0,1,1,1,1,1,1,1,1,1,1,1
MQTT,Device-113-brokerA-brokerA,3,0,0,0.6666666666666666,0,2,1055.0,0.08892440958899187,0.0,0,0,2,2,2,2,2,2,2,2,2
MQTT,Device-114-brokerB-brokerB,3,0,1,8.0,0,23,1055.0,0.08892440958899187,0.0,1,1,23,23,23,23,23,23,23,23,23
