Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
MQTT,Device-1-brokerA-brokerA,1,0,3,3.0,3,3,10269.0,0.19785724902973714,0.0,3,3,3,3,3,3,3,3,3,3,3
MQTT,Device-10-brokerB-brokerB,1,0,11,11.0,11,11,10270.0,0.19785724902973714,0.0,11,11,11,11,11,11,11,11,11,11,11
MQTT,Device-100-brokerD-brokerD,1,0,3,3.0,3,3,10271.0,0.19785724902973714,0.0,3,3,3,3,3,3,3,3,3,3,3
MQTT,Device-101-brokerE-brokerE,1,0,2,2.0,2,2,10271.0,0.19785724902973714,0.0,2,2,2,2,2,2,2,2,2,2,2
MQTT,Device-102-brokerF-brokerF,1,0,2,2.0,2,2,10271.0,0.19785724902973714,0.0,2,2,2,2,2,2,2,2,2,2,2
MQTT,Device-103-brokerG-brokerG,1,0,2,2.0,2,2,10271.0,0.19785724902973714,0.0,2,2,2,2,2,2,2,2,2,2,2
MQTT,Device-104-brokerH-brokerH,1,0,2,2.0,2,2,10271.0,0.19785724902973714,0.0,2,2,2,2,2,2,2,2,2,2,2
MQTT,Device-105-brokerA-brokerA,1,0,1,1.0,1,1,10271.0,0.19785724902973714,0.0,1,1,1,1,1,1,1,1,1,1,1
MQTT,Device-106-brokerB-brokerB,1,0,10,10.0,10,10,10271.0,0.19785724902973714,0.0,10,10,10,10,10,10,10,10,10,10,10
MQTT,Device-107-brokerC-brokerC,1,0,1,1.0,1,1,10271.0,0.19785724902973714,0.0,1,1,1,1,1,1,1,1,1,1,1
MQTT,Device-108-brokerD-brokerD,1,0,18,18.0,18,18,10271.0,0.19785724902973714,0.0,18,18,18,18,18,18,18,18,18,18,18
MQTT,Device-109-brokerE-brokerE,1,0,8,8.0,8,8,10271.0,0.19785724902973714,0.0,8,8,8,8,8,8,8,8,8,8,8
MQTT,Device-11-brokerC-brokerC,1,0,10,10.0,10,10,10270.0,0.19785724902973714,0.0,10,10,10,10,10,10,10,10,10,10,10
MQTT,Device-110-brokerF-brokerF,1,0,9,9.0,9,9,10271.0,0.19785724902973714,0.0,9,9,9,9,9,9,9,9,9,9,9
MQTT,Device-111-brokerG-brokerG,1,0,12,12.0,12,12,10271.0,0.19785724902973714,0.0,12,12,12,12,12,12,12,12,12,12,12
MQTT,Device-112-brokerH-brokerH,1,0,9,9.0,9,9,10271.0,0.19785724902973714,0.0,9,9,9,9,9,9,9,9,9,9,9
MQTT,Device-113-brokerA-brokerA,1,0,13,13.0,13,13,10271.0,0.19785724902973714,0.0,13,13,13,13,13,13,13,13,13,13,13
MQTT,Device-114-brokerB-brokerB,1,0,9,9.0,9,9,10271.0,0.19785724902973714,0.0,9,9,9,9,9,9,9,9,9,9,9
MQTT,Device-115-brokerC-brokerC,1,0,9,9.0,9,9,10271.0,0.19785724902973714,0.0,9,9,9,9,9,9,9,9,9,9,9
MQTT,Device-116-brokerD-brokerD,1,0,9,9.0,9,9,10271.0,0.19785724902973714,0.0,9,9,9,9,9,9,9,9,9,9,9
MQTT,Device-117-brokerE-brokerE,1,0,9,9.0,9,9,10271.0,0.19785724902973714,0.0,9,9,9,9,9,9,9,9,9,9,9
MQTT,Device-118-brokerF-brokerF,1,0,9,9.0,9,9,10271.0,0.19785724902973714,0.0,9,9,9,9,9,9,9,9,9,9,9
MQTT,Device-119-brokerG-brokerG,1,0,9,9.0,9,9,10271.0,0.19785724902973714,0.0,9,9,9,9,9,9,9,9,9,9,9
MQTT,Device-12-brokerD-brokerD,1,0,11,11.0,11,11,10270.0,0.19785724902973714,0.0,11,11,11,11,11,11,11,11,11,11,11
MQTT,Device-120-brokerH-brokerH,1,0,9,9.0,9,9,10271.0,0.19785724902973714,0.0,9,9,9,9,9,9,9,9,9,9,9
MQTT,Device-121-brokerA-brokerA,1,0,9,9.0,9,9,10271.0,0.19785724902973714,0.0,9,9,9,9,9,9,9,9,9,9,9
MQTT,Device-122-brokerB-brokerB,1,0,5,5.0,5,5,10271.0,0.19785724902973714,0.0,5,5,5,5,5,5,5,5,5,5,5
MQTT,Device-123-brokerC-brokerC,1,0,5,5.0,5,5,10271.0,0.19785724902973714,0.0,5,5,5,5,5,5,5,5,5,5,5
MQTT,Device-124-brokerD-brokerD,1,0,9,9.0,9,9,10271.0,0.19785724902973714,0.0,9,9,9,9,9,9,9,9,9,9,9
MQTT,Device-125-brokerE-brokerE,1,0,8,8.0,8,8,10271.0,0.19785724902973714,0.0,8,8,8,8,8,8,8,8,8,8,8
MQTT,Device-126-brokerF-brokerF,1,0,8,8.0,8,8,10271.0,0.19785724902973714,0.0,8,8,8,8,8,8,8,8,8,8,8
MQTT,Device-127-brokerG-brokerG,1,0,18,18.0,18,18,10271.0,0.19785724902973714,0.0,18,18,18,18,18,18,18,18,18,18,18
MQTT,Device-128-brokerH-brokerH,1,0,18,18.0,18,18,10271.0,0.19785724902973714,0.0,18,18,18,18,18,18,18,18,18,18,18
MQTT,Device-129-brokerA-brokerA,1,0,18,18.0,18,18,10271.0,0.19785724902973714,0.0,18,18,18,18,18,18,18,18,18,18,18
MQTT,Device-13-brokerE-brokerE,1,0,11,11.0,11,11,10270.0,0.19785724902973714,0.0,11,11,11,11,11,11,11,11,11,11,11
MQTT,Device-130-brokerB-brokerB,1,0,18,18.0,18,18,10271.0,0.19785724902973714,0.0,18,18,18,18,18,18,18,18,18,18,18
