Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
MQTT,Device-1-brokerA-brokerA,3,0,180,180.33333333333334,168,189,1053.0,0.09624474223182357,0.0,180,180,190,190,190,190,190,190,190,190,190
MQTT,Device-10-brokerB-brokerB,3,0,210,204.66666666666666,185,218,1054.0,0.09624474223182357,0.0,210,210,220,220,220,220,220,220,220,220,220
MQTT,Device-100-brokerD-brokerD,3,0,180,181.33333333333334,177,189,1055.0,0.09624474223182357,0.0,180,180,190,190,190,190,190,190,190,190,190
MQTT,Device-101-brokerE-brokerE,2,0,172,176.0,172,180,1055.0,0.06416316148788237,0.0,180,180,180,180,180,180,180,180,180,180,180
MQTT,Device-102-brokerF-brokerF,2,0,180,194.0,176,212,1055.0,0.06416316148788237,0.0,210,210,210,210,210,210,210,210,210,210,210
MQTT,Device-103-brokerG-brokerG,2,0,183,185.0,183,187,1055.0,0.06416316148788237,0.0,190,190,190,190,190,190,190,190,190,190,190
MQTT,Device-104-brokerH-brokerH,2,0,180,183.0,176,190,1055.0,0.06416316148788237,0.0,190,190,190,190,190,190,190,190,190,190,190
MQTT,Device-105-brokerA-brokerA,2,0,181,204.5,181,228,1055.0,0.06416316148788237,0.0,230,230,230,230,230,230,230,230,230,230,230
MQTT,Device-106-brokerB-brokerB,2,0,170,173.5,170,177,1055.0,0.06416316148788237,0.0,180,180,180,180,180,180,180,180,180,180,180
MQTT,Device-107-brokerC-brokerC,2,0,199,197.0,195,199,1055.0,0.06416316148788237,0.0,200,200,200,200,200,200,200,200,200,200,200
MQTT,Device-108-brokerD-brokerD,3,0,170,173.33333333333334,163,187,1055.0,0.09624474223182357,0.0,170,170,190,190,190,190,190,190,190,190,190
MQTT,Device-109-brokerE-brokerE,2,0,200,199.5,195,204,1055.0,0.06416316148788237,0.0,200,200,200,200,200,200,200,200,200,200,200
MQTT,Device-11-brokerC-brokerC,3,0,190,190.33333333333334,183,195,1054.0,0.09624474223182357,0.0,190,190,200,200,200,200,200,200,200,200,200
MQTT,Device-110-brokerF-brokerF,3,0,180,179.66666666666666,174,185,1055.0,0.09624474223182357,0.0,180,180,180,180,180,180,180,180,180,180,180
MQTT,Device-111-brokerG-brokerG,2,0,181,185.0,181,189,1055.0,0.06416316148788237,0.0,190,190,190,190,190,190,190,190,190,190,190
MQTT,Device-112-brokerH-brokerH,3,0,180,174.66666666666666,159,187,1055.0,0.09624474223182357,0.0,180,180,190,190,190,190,190,190,190,190,190
MQTT,Device-113-brokerA-brokerA,2,0,170,196.0,167,225,1055.0,0.06416316148788237,0.0,220,220,220,220,220,220,220,220,220,220,220
MQTT,Device-114-brokerB-brokerB,2,0,185,187.5,185,190,1055.0,0.06416316148788237,0.0,190,190,190,190,190,190,190,190,190,190,190
MQTT,Device-115-brokerC-brokerC,2,0,180,179.0,176,182,1055.0,0.06416316148788237,0.0,180,180,180,180,180,180,180,180,180,180,180
MQTT,Device-116-brokerD-brokerD,2,0,170,200.0,168,232,1055.0,0.06416316148788237,0.0,230,230,230,230,230,230,230,230,230,230,230
MQTT,Device-117-brokerE-brokerE,2,0,180,180.0,178,182,1055.0,0.06416316148788237,0.0,180,180,180,180,180,180,180,180,180,180,180
MQTT,Device-118-brokerF-brokerF,2,0,170,172.0,168,176,1055.0,0.06416316148788237,0.0,180,180,180,180,180,180,180,180,180,180,180
MQTT,Device-119-brokerG-brokerG,2,0,120,149.5,118,181,1055.0,0.06416316148788237,0.0,180,180,180,180,180,180,180,180,180,180,180
MQTT,Device-12-brokerD-brokerD,3,0,180,187.66666666666666,174,204,1054.0,0.09624474223182357,0.0,180,180,200,200,200,200,200,200,200,200,200
