Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
MQTT,Device-1-brokerA-brokerA,1,0,753,753.0,753,753,10269.0,0.1831561322115011,0.0,750,750,750,750,750,750,750,750,750,750,750
MQTT,Device-10-brokerB-brokerB,1,0,625,625.0,625,625,10270.0,0.1831561322115011,0.0,620,620,620,620,620,620,620,620,620,620,620
MQTT,Device-100-brokerD-brokerD,1,0,590,590.0,590,590,10271.0,0.1831561322115011,0.0,590,590,590,590,590,590,590,590,590,590,590
MQTT,Device-101-brokerE-brokerE,1,0,649,649.0,649,649,10271.0,0.1831561322115011,0.0,650,650,650,650,650,650,650,650,650,650,650
MQTT,Device-102-brokerF-brokerF,1,0,648,648.0,648,648,10271.0,0.1831561322115011,0.0,650,650,650,650,650,650,650,650,650,650,650
MQTT,Device-103-brokerG-brokerG,1,0,726,726.0,726,726,10271.0,0.1831561322115011,0.0,730,730,730,730,730,730,730,730,730,730,730
MQTT,Device-104-brokerH-brokerH,1,0,1582,1582.0,1582,1582,10271.0,0.1831561322115011,0.0,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
MQTT,Device-105-brokerA-brokerA,1,0,649,649.0,649,649,10271.0,0.1831561322115011,0.0,650,650,650,650,650,650,650,650,650,650,650
MQTT,Device-106-brokerB-brokerB,1,0,668,668.0,668,668,10271.0,0.1831561322115011,0.0,670,670,670,670,670,670,670,670,670,670,670
MQTT,Device-107-brokerC-brokerC,1,0,930,930.0,930,930,10271.0,0.1831561322115011,0.0,930,930,930,930,930,930,930,930,930,930,930
MQTT,Device-108-brokerD-brokerD,1,0,2687,2687.0,2687,2687,10271.0,0.1831561322115011,0.0,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
MQTT,Device-109-brokerE-brokerE,1,0,663,663.0,663,663,10271.0,0.1831561322115011,0.0,660,660,660,660,660,660,660,660,660,660,660
MQTT,Device-11-brokerC-brokerC,1,0,1557,1557.0,1557,1557,10270.0,0.1831561322115011,0.0,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
